table,zip_member,compressed_mb,uncompressed_mb,rows,players,time_utc_min,time_utc_max,time_min,time_max,missing_pid_pct,missing_time_utc_pct,bad_time_utc_rows,bad_time_rows,max_column_missing_pct,event_names,duplicate_pid_time_event_rows
demographics,data/demographics.csv,0.18,0.67,11080,11080,,,,,0.0,,0,0,25.55956678700361,[],0
exited_game,data/exited_game.csv,2.41,11.56,105869,10834,2022-08-18 13:16:05,2023-03-31 06:23:29,2022-08-18 06:34:51,2023-03-31 13:58:05,0.0,0.0,0,0,7.38081969226119,"[[""exited_game"", 105869]]",1
game_saved,data/game_saved.csv,140.76,1085.92,8482454,7725,2022-08-18 13:08:56,2023-02-03 14:59:20,2022-08-18 05:35:47,2023-02-03 09:59:20,0.0,0.0,0,0,100.0,"[[""game_saved"", 8482454]]",0
item_purchased,data/item_purchased.csv,2.99,37.87,306975,7737,2022-08-18 13:26:37,2023-03-29 00:38:56,2022-08-18 05:44:45,2023-03-29 02:40:07,0.0,0.0,0,0,3.163775551755029,"[[""item_purchased"", 306975]]",0
job_completed,data/job_completed.csv,3.44,22.47,155100,10105,2022-08-18 13:11:53,2023-03-29 00:27:32,2022-08-18 05:41:53,2023-03-29 03:20:06,0.0,0.0,0,0,0.11089619600257898,"[[""job_completed"", 155100]]",0
job_exited,data/job_exited.csv,6.3,34.94,240417,10478,2022-08-18 13:12:00,2023-03-29 02:14:02,2022-08-18 05:45:37,2023-03-29 09:44:28,0.0,0.0,0,0,17.094465033670662,"[[""job_exited"", 240417]]",0
job_resumed,data/job_resumed.csv,1.25,6.66,67682,7140,2022-08-18 13:23:09,2023-03-28 20:00:07,2022-08-18 08:09:16,2023-03-29 00:36:57,0.0,0.0,0,0,91.64770544605656,"[[""job_resumed"", 67682]]",0
job_started,data/job_started.csv,2.64,17.51,176824,10489,2022-08-18 13:08:21,2023-03-29 00:33:56,2022-08-18 05:35:28,2023-03-29 03:20:29,0.0,0.0,0,0,27.517192236348006,"[[""job_started"", 176824]]",0
mood_reported,data/mood_reported.csv,0.63,3.51,24107,5851,2022-08-18 13:09:48,2023-03-28 21:54:46,2022-08-18 05:42:31,2023-03-28 22:54:46,0.0,0.0,0,0,41.73891400837931,"[[""mood_reported"", 24107]]",0
player_logged_in,data/player_logged_in.csv,1.21,6.79,113004,11080,2022-08-18 13:06:56,2023-03-31 06:23:01,2022-08-18 05:32:03,2023-03-31 13:57:34,0.0,0.0,0,0,0.0,"[[""player_logged_in"", 113004]]",0
study_prompt_answered,data/study_prompt_answered.csv,21.08,121.9,702209,9622,2022-08-18 13:15:17,2023-03-29 00:41:26,2022-08-18 05:41:20,2023-03-29 03:26:15,0.0,0.0,0,0,49.157017355231844,"[[""study_prompt_answered"", 702209]]",0
study_reward_claimed,data/study_reward_claimed.csv,0.32,2.07,17126,3926,2023-01-31 17:13:21,2023-03-31 02:06:52,2023-01-31 09:20:45,2023-03-30 22:06:52,0.0,0.0,0,0,64.55097512554012,"[[""study_reward_claimed"", 17126]]",0
study_reward_unlocked,data/study_reward_unlocked.csv,0.27,1.52,9623,2340,2023-01-31 17:38:39,2023-03-29 14:45:07,2023-01-31 11:52:22,2023-03-29 17:45:07,0.0,0.0,0,0,38.75090927985036,"[[""study_reward_unlocked"", 9623]]",0
subtask_completed,data/subtask_completed.csv,337.32,3530.12,14376699,10432,2022-08-18 13:08:49,2023-03-29 00:45:55,2022-08-18 05:35:38,2023-03-29 03:29:09,0.0,0.0,0,0,0.0002573608865289591,"[[""subtask_completed"", 14376699]]",0
task_completed,data/task_completed.csv,6.75,52.2,212818,10107,2022-08-18 13:11:53,2023-03-29 00:27:32,2022-08-18 05:41:53,2023-03-29 03:20:06,0.0,0.0,0,0,0.0004698850661128288,"[[""task_completed"", 212818]]",0
update_current_state,data/update_current_state.csv,271.93,2846.65,12710590,3939,2023-01-31 17:22:14,2023-03-29 02:13:59,2023-01-31 09:34:04,2023-03-29 09:44:33,0.0,0.0,0,0,16.322184886775517,"[[""update_current_state"", 12710590]]",0
