session_id,pid,session_index,duration_minutes,days_since_previous_session,jobs_started,jobs_resumed,jobs_completed,jobs_exited,tasks_completed,items_purchased,job_completion_ratio,job_exit_ratio,progression_gain,campaign_progression_gain,primary_game_mode,mode_diversity
p4712_s0001,p4712,1,242.61666666666667,,85,0,84,83,104,384,0.9882352941176472,0.976470588235294,1.0,1.0,FreePlay,3
p9535_s0001,p9535,1,215.53333333333333,,44,0,44,43,53,184,1.0,0.9772727272727272,1.0,1.0,Career,3
p11276_s0001,p11276,1,51.23333333333333,,42,1,42,42,52,82,0.9767441860465116,0.9767441860465116,1.0,1.0,Career,2
p5191_s0001,p5191,1,141.85,,59,0,59,57,68,383,1.0,0.9661016949152542,1.0,1.0,Career,4
p3707_s0079,p3707,79,32.833333333333336,0.2115162037037037,2,0,1,2,1,0,0.5,1.0,0.94048318,1.0,Career,3
p5311_s0001,p5311,1,92.15,,43,0,43,42,52,384,1.0,0.9767441860465116,1.0,0.97368421,Career,3
p2027_s0001,p2027,1,85.23333333333333,,63,0,46,61,57,112,0.7301587301587301,0.9682539682539684,1.0,0.97368421,Career,4
p2811_s0001,p2811,1,84.41666666666667,,38,0,38,37,46,193,1.0,0.9736842105263158,1.0,0.97368421,Career,1
p8090_s0006,p8090,6,29.4,1.658449074074074,5,0,4,5,4,0,0.8,1.0,0.0,0.97368421,Challenge,3
p975_s0002,p975,2,58.71666666666667,1.2834027777777777,37,1,38,37,46,234,1.0,0.9736842105263158,1.0,0.97368421,Career,1
p108_s0002,p108,2,48.43333333333333,0.001099537037037,37,1,38,37,46,40,1.0,0.9736842105263158,1.0,0.97368421,Career,1
p8292_s0001,p8292,1,103.16666666666669,,38,0,38,37,46,83,1.0,0.9736842105263158,1.0,0.97368421,Career,1
p5944_s0001,p5944,1,48.03333333333333,,47,0,47,46,56,224,1.0,0.9787234042553192,1.0,0.97368421,Career,3
p4680_s0003,p4680,3,151.81666666666666,0.0003472222222222,37,0,38,37,46,4,1.027027027027027,1.0,1.0,0.97368421,Career,1
p8032_s0001,p8032,1,98.5,,38,0,38,37,46,130,1.0,0.9736842105263158,1.0,0.97368421,Career,1
p1386_s0001,p1386,1,269.4166666666667,,55,0,48,54,73,383,0.8727272727272727,0.9818181818181818,1.0,0.97368421,Career,4
p10082_s0001,p10082,1,370.73333333333335,,43,0,43,42,52,55,1.0,0.9767441860465116,1.0,0.97368421,Career,4
p4444_s0001,p4444,1,101.41666666666669,,42,0,42,41,51,135,1.0,0.9761904761904762,1.0,0.97368421,Career,2
p1241_s0029,p1241,29,140.45,59.54113425925926,6,0,5,6,11,6,0.8333333333333334,1.0,1.0,0.97368421,Career,3
p2260_s0019,p2260,19,51.05,4.723402777777777,3,0,2,3,2,27,0.6666666666666666,1.0,1.0,0.97368421,Career,3
p3889_s0001,p3889,1,70.9,,38,0,38,37,46,255,1.0,0.9736842105263158,1.0,0.97368421,Career,1
p10203_s0001,p10203,1,207.21666666666667,,40,0,40,39,49,8,1.0,0.975,1.0,0.97368421,Career,2
p4715_s0001,p4715,1,102.48333333333332,,41,0,40,40,49,146,0.975609756097561,0.975609756097561,1.0,0.97368421,Career,3
p8057_s0001,p8057,1,56.61666666666667,,42,0,42,41,51,90,1.0,0.9761904761904762,1.0,0.97368421,Career,3
p8112_s0001,p8112,1,1202.95,,56,0,56,55,65,384,1.0,0.9821428571428572,1.0,0.97368421,Career,3
