session_id,pid,session_index,duration_minutes,days_since_previous_session,jobs_started,jobs_resumed,jobs_completed,jobs_exited,tasks_completed,items_purchased,job_completion_ratio,job_exit_ratio,progression_gain,campaign_progression_gain,primary_game_mode,mode_diversity
p9994_s0014,p9994,14,44.91666666666666,14.07863425925926,2,0,1,2,1,2,0.5,1.0,1.0,0.0263158,Career,1
p1_s0005,p1,5,36.4,0.6345601851851852,2,1,2,3,9,2,0.6666666666666666,1.0,1.0,0.0263157949999999,Career,2
p9994_s0013,p9994,13,101.56666666666666,0.136724537037037,4,0,4,4,4,0,1.0,1.0,1.0,0.07894737,Career,1
p9999_s0006,p9999,6,145.23333333333332,0.5548263888888889,1,2,2,3,2,2,0.6666666666666666,1.0,1.0,0.0263158,Career,1
p1_s0002,p1,2,15.916666666666666,0.0261921296296296,1,1,1,2,1,0,0.5,1.0,1.0,0.0,Career,1
p9996_s0002,p9996,2,53.05,9.554768518518518,2,1,2,3,2,0,0.6666666666666666,1.0,1.0,0.026315785,Career,1
p9996_s0001,p9996,1,39.53333333333333,,2,0,1,2,1,3,0.5,1.0,1.0,0.0,Career,1
p9998_s0002,p9998,2,246.0,0.7028240740740741,4,2,4,6,12,13,0.6666666666666666,1.0,1.0,0.078947365,Career,1
p9998_s0001,p9998,1,211.96666666666667,,3,0,2,3,2,31,0.6666666666666666,1.0,1.0,0.02631579,Career,1
p1_s0018,p1,18,43.35,0.075011574074074,2,1,2,3,2,0,0.6666666666666666,1.0,1.0,0.0263158099999999,Career,1
p1_s0017,p1,17,40.63333333333333,0.8902314814814815,2,1,2,3,2,1,0.6666666666666666,1.0,1.0,0.05263157,Career,1
p1_s0016,p1,16,38.7,0.906412037037037,2,1,2,3,2,1,0.6666666666666666,1.0,1.0,0.02631579,Career,1
p1_s0007,p1,7,45.95,0.1134722222222222,1,1,2,2,2,0,1.0,1.0,1.0,0.02631578,Career,1
p4786_s0009,p4786,9,118.68333333333334,0.0855439814814814,1,1,1,2,1,2,0.5,1.0,1.0,0.0,Career,1
p4786_s0007,p4786,7,67.66666666666667,0.8223263888888889,1,1,2,2,2,0,1.0,1.0,1.0,0.02631579,Career,1
p4786_s0006,p4786,6,113.75,0.2301967592592592,1,1,1,2,1,0,0.5,1.0,1.0,0.0,Career,1
p4786_s0004,p4786,4,69.25,0.2731365740740741,1,1,2,2,3,0,1.0,1.0,1.0,0.02631578,Career,1
p4786_s0002,p4786,2,117.88333333333334,0.079375,3,1,3,4,4,6,0.75,1.0,1.0,0.05263158,Career,1
p4786_s0001,p4786,1,68.43333333333334,,2,0,1,2,1,0,0.5,1.0,1.0,0.0,Career,1
p4785_s0001,p4785,1,39.516666666666666,,2,0,1,2,1,0,0.5,1.0,1.0,0.0,Career,1
p4784_s0018,p4784,18,101.68333333333334,0.0052199074074074,2,0,1,2,1,0,0.5,1.0,1.0,0.0,Special,1
p4787_s0001,p4787,1,61.3,,2,0,1,2,1,0,0.5,1.0,1.0,0.0,Career,1
p4786_s0018,p4786,18,94.78333333333332,0.1396759259259259,1,1,2,2,2,2,1.0,1.0,1.0,0.0263158,Career,1
p10003_s0003,p10003,3,141.05,0.9363773148148148,3,1,4,3,4,1,1.0,0.75,1.0,0.0789473699999999,Career,1
p10004_s0022,p10004,22,146.0,0.9463541666666668,2,0,1,2,1,0,0.5,1.0,1.0,0.0,Career,1
