session_id,pid,session_index,duration_minutes,days_since_previous_session,jobs_started,jobs_resumed,jobs_completed,jobs_exited,tasks_completed,items_purchased,job_completion_ratio,job_exit_ratio,progression_gain,campaign_progression_gain,primary_game_mode,mode_diversity
p1568_s0002,p1568,2,1.4166666666666667,220.0814351851852,0,1,0,1,0,6,0.0,1.0,0.00231069,0.0,Career,1
p5816_s0002,p5816,2,62.46666666666667,219.39478009259255,1,0,1,1,1,0,1.0,1.0,0.0,0.0,Career,1
p1947_s0002,p1947,2,0.6333333333333333,219.04984953703703,0,0,0,0,0,0,,,,,,1
p1591_s0006,p1591,6,0.7,218.04966435185185,0,0,0,0,0,0,,,,,,1
p7098_s0002,p7098,2,1.0833333333333333,217.02792824074075,0,0,0,0,0,0,,,,,,1
p3092_s0002,p3092,2,232.4333333333333,216.0182175925926,3,0,2,3,3,0,0.6666666666666666,1.0,0.9994498709,0.0,Special,1
p9150_s0002,p9150,2,36.85,214.5389351851852,0,1,1,1,1,0,1.0,1.0,0.6089382999999999,0.0,Career,1
p4905_s0002,p4905,2,55.93333333333333,213.4578587962963,2,0,2,2,2,0,1.0,1.0,1.0,0.02631579,Career,2
p11057_s0002,p11057,2,1.5333333333333334,211.8399537037037,0,0,0,0,0,0,,,,,,1
p7159_s0004,p7159,4,204.63333333333333,211.62577546296296,3,1,3,4,3,5,0.75,1.0,1.0,0.05263159,Career,1
p4309_s0002,p4309,2,134.68333333333334,211.03179398148148,2,0,2,2,2,8,1.0,1.0,1.0,0.02631579,Career,1
p2368_s0003,p2368,3,22.3,208.92596064814813,0,1,0,1,1,2,0.0,1.0,0.28629522,0.0,Career,1
p6567_s0002,p6567,2,109.86666666666666,208.83442129629628,2,0,2,2,2,1,1.0,1.0,1.0,0.0263157949999999,Career,1
p7650_s0002,p7650,2,37.38333333333333,208.80616898148148,2,0,1,2,1,3,0.5,1.0,1.0,0.0,Career,1
p4531_s0002,p4531,2,1.1333333333333333,208.7791435185185,0,0,0,0,0,0,,,,,,1
p7741_s0005,p7741,5,1.6333333333333333,208.589375,0,0,0,0,0,0,,,,,,1
p8896_s0004,p8896,4,0.5333333333333333,208.56415509259256,0,0,0,0,0,0,,,,,,1
p1184_s0002,p1184,2,92.58333333333331,208.27663194444443,1,1,2,2,2,0,1.0,1.0,1.0,0.026315785,Career,1
p10673_s0002,p10673,2,51.73333333333333,207.2463888888889,2,0,2,2,2,0,1.0,1.0,1.0,0.026315785,Career,1
p6965_s0002,p6965,2,36.65,206.16054398148148,1,1,2,2,2,25,1.0,1.0,0.5094358999999999,0.026315785,Career,1
p6887_s0008,p6887,8,8.216666666666667,205.36310185185187,0,1,0,1,0,0,0.0,1.0,0.0190546999999999,0.0,Career,1
p9344_s0002,p9344,2,122.08333333333331,204.3116435185185,10,0,4,10,5,0,0.4,1.0,1.0,0.052631575,FreePlay,3
p2774_s0002,p2774,2,0.9166666666666666,203.93405092592596,0,0,0,0,0,0,,,,,,1
p9652_s0002,p9652,2,0.4666666666666667,203.2420138888889,0,0,0,0,0,0,,,,,,1
p6596_s0013,p6596,13,64.96666666666667,202.97091435185183,4,0,3,4,3,0,0.75,1.0,0.2494356599999999,0.0,Challenge,1
