session_id,pid,session_index,duration_minutes,days_since_previous_session,jobs_started,jobs_resumed,jobs_completed,jobs_exited,tasks_completed,items_purchased,job_completion_ratio,job_exit_ratio,progression_gain,campaign_progression_gain,primary_game_mode,mode_diversity
p2475_s0001,p2475,1,67.83333333333333,,62,0,62,61,71,384,1.0,0.9838709677419356,1.0,0.97368421,Career,4
p4712_s0001,p4712,1,242.61666666666667,,85,0,84,83,104,384,0.9882352941176472,0.976470588235294,1.0,1.0,FreePlay,3
p5311_s0001,p5311,1,92.15,,43,0,43,42,52,384,1.0,0.9767441860465116,1.0,0.97368421,Career,3
p8112_s0001,p8112,1,1202.95,,56,0,56,55,65,384,1.0,0.9821428571428572,1.0,0.97368421,Career,3
p3297_s0001,p3297,1,103.33333333333331,,62,0,60,61,70,384,0.967741935483871,0.9838709677419356,1.0,0.97368421,Career,4
p522_s0011,p522,11,38.38333333333333,0.0002893518518518,23,0,22,23,23,384,0.9565217391304348,1.0,0.8100738000000001,0.0,Challenge,3
p7676_s0005,p7676,5,120.93333333333334,2.7672337962962965,35,1,35,35,35,383,0.9722222222222222,0.9722222222222222,1.0,0.84210527,Career,3
p5191_s0001,p5191,1,141.85,,59,0,59,57,68,383,1.0,0.9661016949152542,1.0,1.0,Career,4
p5281_s0001,p5281,1,100.6,,63,0,62,62,71,383,0.984126984126984,0.984126984126984,1.0,0.97368421,Career,4
p1386_s0001,p1386,1,269.4166666666667,,55,0,48,54,73,383,0.8727272727272727,0.9818181818181818,1.0,0.97368421,Career,4
p11209_s0001,p11209,1,198.16666666666663,,47,0,47,46,58,380,1.0,0.9787234042553192,1.0,0.97368421,Career,3
p1461_s0004,p1461,4,137.38333333333333,1.9185069444444445,33,1,34,33,38,378,1.0,0.9705882352941176,1.0,0.86842105,Career,1
p179_s0004,p179,4,39.4,0.578738425925926,16,1,15,16,16,368,0.8823529411764706,0.9411764705882352,1.0,0.3157894599999999,Career,2
p5034_s0001,p5034,1,108.4,,40,0,40,39,49,367,1.0,0.975,1.0,0.97368421,Career,2
p2835_s0002,p2835,2,129.31666666666666,1.0831944444444443,37,0,37,36,45,360,1.0,0.972972972972973,1.0,0.97368421,Career,1
p8760_s0027,p8760,27,149.88333333333333,0.0007638888888888,40,0,40,39,49,360,1.0,0.975,1.0,0.97368421,Career,2
p8689_s0037,p8689,37,104.91666666666669,13.306782407407407,1,0,0,1,0,356,0.0,1.0,0.0,0.0,Special,1
p9912_s0030,p9912,30,178.58333333333334,1.754837962962963,1,0,1,1,1,355,1.0,1.0,0.0,0.0,Special,1
p8336_s0078,p8336,78,76.1,0.1573379629629629,1,0,0,1,0,355,0.0,1.0,0.0,0.0,FreePlay,1
p8659_s0024,p8659,24,48.8,0.1772800925925926,0,1,1,0,1,353,1.0,0.0,0.2883941,0.0263158,Career,1
p2431_s0015,p2431,15,607.5833333333334,0.1238310185185185,6,1,6,6,6,332,0.8571428571428571,0.8571428571428571,1.0,0.0789473699999999,Career,2
p9313_s0001,p9313,1,91.78333333333332,,42,0,42,41,50,332,1.0,0.9761904761904762,1.0,0.97368421,Career,3
p9887_s0016,p9887,16,199.9,1.8552314814814812,2,0,1,2,1,332,0.5,1.0,1.0,0.0,Career,2
p2383_s0089,p2383,89,123.66666666666669,5.727025462962963,1,1,2,1,3,330,1.0,0.5,0.4897875,0.0,Special,2
p133_s0001,p133,1,345.4833333333333,,34,0,33,34,42,330,0.9705882352941176,1.0,1.0,0.84210527,Career,2
