session_id,pid,session_index,first_session,no_started_or_resumed_job,log_duration_minutes,log_gap_days,log_jobs_started,log_jobs_resumed,log_tasks_completed,purchase_any,job_completion_ratio_capped,job_exit_ratio_capped,progression_gain,mode_diversity
p1_s0001,p1,1,1,0,2.138103454328422,0.0,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p1_s0002,p1,2,0,0,2.828299329253787,0.025854990065046036,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0.5,1.0,1.0,1
p1_s0003,p1,3,0,0,3.6247852786846315,0.0005554012916999628,1.0986122886681098,0.6931471805599453,1.0986122886681098,1,0.6666666666666666,1.0,1.0,1
p1_s0004,p1,4,0,0,2.0939195608604892,0.09406782591062827,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.2096671699999999,1
p1_s0005,p1,5,0,0,3.6216707044204863,0.49137376827552065,1.0986122886681098,0.6931471805599453,2.302585092994046,1,0.6666666666666666,1.0,1.0,2
p1_s0006,p1,6,0,0,3.3446270301737613,0.053288409303021506,0.0,0.6931471805599453,1.0986122886681098,0,0.0,1.0,0.39208283,1
p1_s0007,p1,7,0,0,3.849083205654272,0.10748326103880491,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,1.0,1.0,1.0,1
p1_s0008,p1,8,0,0,1.7316555451583497,0.1539026331932195,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p1_s0009,p1,9,0,0,3.4094961844768505,0.9793524686578543,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.39206491,1
p1_s0010,p1,10,0,0,3.678408154246641,0.2814823381985648,0.0,0.6931471805599453,0.6931471805599453,0,1.0,1.0,0.51969382,1
p1_s0011,p1,11,0,0,3.0902845904952136,0.4231625192966211,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p1_s0012,p1,12,0,0,2.3963789722804063,0.03189336377595375,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.12352435,1
p1_s0013,p1,13,0,0,3.171085161031852,1.445499130106289,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.13825578,1
p1_s0014,p1,14,0,0,2.7673667782586295,1.2838007453490228,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.1455807,1
