space,model,k,silhouette_sampled,silhouette_sample_size,calinski_harabasz,davies_bouldin,inertia,log_likelihood,bic,aic,iterations
main_standardized,kmeans,2,0.24064668754475466,6000,33399.97337274023,1.5947923251454896,1298745.0586163313,,,,1
main_standardized,gmm_diag,2,0.46151941541654706,6000,33034.52932929179,0.7336105989598143,,-776549.2233519526,1553665.351023802,1553196.4467039052,1
main_standardized,kmeans,3,0.24586737364454864,6000,26472.06227444351,1.597189438419182,1203283.4160414226,,,,1
main_standardized,gmm_diag,3,0.2647086019712935,6000,33981.80157822274,1.410929209677473,,-449403.22635803575,899662.5939338747,898954.4527160715,1
main_standardized,kmeans,4,0.2601454739372254,6000,33388.764123091074,1.6328343931045497,932268.3106061872,,,,1
main_standardized,gmm_diag,4,0.25251335425778926,6000,33263.47666489603,1.5930953197277247,,-340541.56313344167,682228.5043825931,681281.1262668833,1
main_standardized,kmeans,5,0.25148249579459014,6000,28529.910072647035,1.5476721467504615,807785.2690658132,,,,1
main_standardized,gmm_diag,5,0.2810524142695525,6000,33520.572624470275,1.2030159448132598,,-136231.4736206343,273897.5622548849,272710.9472412686,1
main_standardized,kmeans,6,0.18253509845665122,6000,19082.455325989016,1.6943270497502787,897973.990572977,,,,1
main_standardized,gmm_diag,6,0.2284223264082111,6000,27899.340591239663,1.7023946388365376,,272333.15013927175,-542942.4483670207,-544368.3002785435,1
main_standardized,kmeans,7,0.2239919795946205,6000,24553.777365518647,1.6343682585213664,672393.7918548571,,,,1
main_standardized,gmm_diag,7,0.2873958461615667,6000,29501.108291976445,1.295101385594328,,554427.1644893226,-1106841.2401692157,-1108506.3289786451,1
main_standardized,kmeans,8,0.2948987940023068,6000,29073.72382181898,1.2928919014032854,599340.0597305459,,,,1
main_standardized,gmm_diag,8,0.2941458292624778,6000,26388.87891050208,1.3258502723682748,,568437.5122053265,-1134572.698703317,-1136477.024410653,1
pc1_pc5,kmeans,2,0.3418577485803303,6000,50393.344645754914,1.263076398759161,832521.5270042834,,,,1
pc1_pc5,gmm_diag,2,0.5377086655041151,6000,44154.465647930534,0.5943132213021312,,-814868.8859753013,1629980.730944844,1629779.7719506025,1
pc1_pc5,kmeans,3,0.3564286999660817,6000,61291.57376852788,0.9732300871606002,628645.8853636701,,,,1
pc1_pc5,gmm_diag,3,0.3515204613251514,6000,58423.56631119375,0.8963448093605823,,-758484.5667536643,1517339.3567366488,1517033.1335073286,1
pc1_pc5,kmeans,4,0.3741904217094246,6000,54847.51837122138,0.917550224416698,522785.8339327929,,,,1
pc1_pc5,gmm_diag,4,0.3786976280497059,6000,55429.6946615029,0.984680617191177,,-728382.7808247831,1457263.0491139656,1456851.5616495663,1
pc1_pc5,kmeans,5,0.3782220231819906,6000,43894.786198755835,0.8051932113169684,490729.7912595457,,,,1
pc1_pc5,gmm_diag,5,0.4054611377477721,6000,61831.97327217407,0.8670332407765828,,-697616.1789957797,1395857.1096910376,1395340.3579915594,1
pc1_pc5,kmeans,6,0.32480347305638735,6000,49657.679138149186,1.147011203959647,369097.0787851186,,,,1
pc1_pc5,gmm_diag,6,0.350512926986389,6000,47481.69926829988,1.0562806295126277,,-618545.0474511469,1237842.1108368507,1237220.0949022938,1
pc1_pc5,kmeans,7,0.36669531364313174,6000,55312.704868252455,0.9128513606993288,306549.2779451388,,,,1
pc1_pc5,gmm_diag,7,0.38051694974834815,6000,51206.67409438963,1.1100703377254395,,-603628.4520404673,1208136.1842505704,1207408.9040809346,1
pc1_pc5,kmeans,8,0.36629892393143443,6000,52249.48579468519,0.9964694406611145,265525.804256327,,,,1
pc1_pc5,gmm_diag,8,0.3293330137038274,6000,50786.694501286926,0.9313423175922606,,-589019.74270586,1179046.0298164345,1178213.48541172,1
