session_id,label
p1_s0001,1
p1_s0002,0
p1_s0003,0
p1_s0004,2
p1_s0005,0
p1_s0006,2
p1_s0007,0
p1_s0008,2
p1_s0009,2
p1_s0010,0
p1_s0011,2
p1_s0012,2
p1_s0013,2
p1_s0014,2
p1_s0015,2
p1_s0016,0
p1_s0017,0
p1_s0018,0
p1_s0019,2
p1_s0020,2
p1_s0021,2
p1_s0022,0
p1_s0023,2
p1_s0024,2
p10_s0001,2
p10_s0002,0
p10_s0003,0
p10_s0004,0
p10_s0005,2
p10_s0006,0
p10_s0007,0
p10_s0008,0
p10_s0009,0
p10_s0010,2
p10_s0011,0
p10_s0012,2
p10_s0013,0
p10_s0014,2
p10_s0015,0
p100_s0001,1
p1000_s0001,1
p10000_s0001,1
p10000_s0002,0
p10001_s0001,1
p10002_s0001,1
p10002_s0002,0
p10002_s0003,0
p10002_s0004,0
p10002_s0005,0
p10002_s0006,0
p10002_s0007,2
p10002_s0008,2
p10003_s0001,1
p10003_s0002,2
p10003_s0003,0
p10003_s0004,0
p10003_s0005,2
p10003_s0006,2
p10003_s0007,0
p10003_s0008,2
p10003_s0009,0
p10003_s0010,2
p10003_s0011,2
p10004_s0001,1
p10004_s0002,0
p10004_s0003,0
p10004_s0004,0
p10004_s0005,2
p10004_s0006,0
p10004_s0007,0
p10004_s0008,0
p10004_s0009,0
p10004_s0010,2
p10004_s0011,0
p10004_s0012,2
p10004_s0013,0
p10004_s0014,2
p10004_s0015,0
p10004_s0016,0
p10004_s0017,2
p10004_s0018,2
p10004_s0019,0
p10004_s0020,0
p10004_s0021,0
p10004_s0022,0
p10004_s0023,2
p10004_s0024,0
p10004_s0025,0
p10004_s0026,0
p10004_s0027,0
p10004_s0028,2
p10004_s0029,0
p10007_s0001,1
p10007_s0002,2
p10007_s0003,0
p10007_s0004,0
p10007_s0005,1
p10007_s0006,0
p10007_s0007,0
p10007_s0008,0
p10007_s0009,0
p10007_s0010,0
p10007_s0011,0
p10007_s0012,0
p10007_s0013,2
p10007_s0014,2
p10007_s0015,2
p10008_s0001,1
p10008_s0002,0
p10008_s0003,0
p10008_s0004,2
p10009_s0001,1
p10009_s0002,2
p10009_s0003,0
p10009_s0004,2
p10009_s0005,0
p10009_s0006,0
p10009_s0007,0
p10009_s0008,2
p10009_s0009,2
p10009_s0010,2
p1001_s0001,1
p1001_s0002,0
p1001_s0003,0
p1001_s0004,1
p1001_s0005,0
p1001_s0006,0
p1001_s0007,0
p1001_s0008,0
p1001_s0009,2
p1001_s0010,2
p1001_s0011,0
p1001_s0012,2
p1001_s0013,0
p1001_s0014,0
p1001_s0015,0
p1001_s0016,0
p1001_s0017,0
p1001_s0018,0
p1001_s0019,0
p1001_s0020,1
p1001_s0021,0
p1001_s0022,0
p1001_s0023,2
p1001_s0024,0
p1001_s0025,0
p1001_s0026,2
p10010_s0001,1
p10010_s0002,2
p10011_s0001,1
p10011_s0002,2
p10011_s0003,0
p10011_s0004,0
p10011_s0005,2
p10011_s0006,0
p10011_s0007,0
p10011_s0008,0
p10011_s0009,2
p10011_s0010,0
p10012_s0001,1
p10012_s0002,2
p10012_s0003,0
p10013_s0001,1
p10013_s0002,2
p10013_s0003,0
p10013_s0004,0
p10013_s0005,2
p10013_s0006,0
p10013_s0007,0
p10013_s0008,0
p10013_s0009,0
p10014_s0001,1
p10014_s0002,2
p10014_s0003,2
p10014_s0004,2
p10014_s0005,0
p10014_s0006,2
p10014_s0007,2
p10014_s0008,2
p10014_s0009,2
p10014_s0010,2
p10014_s0011,2
p10014_s0012,0
p10015_s0001,1
p10015_s0002,0
p10015_s0003,2
p10015_s0004,0
p10015_s0005,0
p10015_s0006,0
p10015_s0007,0
p10015_s0008,0
p10015_s0009,2
p10016_s0001,1
p10016_s0002,0
p10016_s0003,0
p10016_s0004,0
p10016_s0005,2
p10016_s0006,0
p10016_s0007,0
p10016_s0008,0
p10016_s0009,2
p10016_s0010,0
p10016_s0011,2
p10017_s0001,2
p10018_s0001,1
p10018_s0002,0
p10018_s0003,0
p10018_s0004,0
p10018_s0005,0
p10018_s0006,0
p10018_s0007,2
p10018_s0008,0
p10018_s0009,2
p10018_s0010,2
p10018_s0011,0
p10018_s0012,0
p10018_s0013,2
p10019_s0001,1
p10019_s0002,0
p10019_s0003,2
p10019_s0004,2
p10019_s0005,2
p10019_s0006,0
p10019_s0007,0
p10019_s0008,2
p10019_s0009,2
p10019_s0010,2
p10019_s0011,2
p10019_s0012,2
p1002_s0001,1
p10020_s0001,1
p10020_s0002,0
p10020_s0003,0
p10020_s0004,0
p10020_s0005,0
p10020_s0006,0
p10020_s0007,2
p10020_s0008,0
p10020_s0009,2
p10020_s0010,0
p10020_s0011,2
p10020_s0012,0
p10020_s0013,0
p10020_s0014,0
p10020_s0015,0
p10020_s0016,2
p10020_s0017,2
p10020_s0018,0
p10020_s0019,0
p10020_s0020,0
p10020_s0021,0
p10020_s0022,0
p10020_s0023,2
p10020_s0024,0
p10020_s0025,0
p10020_s0026,0
p10020_s0027,2
p10020_s0028,0
p10020_s0029,0
p10020_s0030,0
p10020_s0031,2
p10020_s0032,2
p10020_s0033,2
p10020_s0034,0
p10021_s0001,1
p10021_s0002,0
p10021_s0003,0
p10021_s0004,0
p10021_s0005,0
p10021_s0006,0
p10021_s0007,0
p10021_s0008,0
p10021_s0009,0
p10021_s0010,0
p10021_s0011,1
p10021_s0012,0
p10021_s0013,0
p10021_s0014,2
p10021_s0015,0
p10021_s0016,0
p10021_s0017,0
p10021_s0018,2
p10021_s0019,0
p10021_s0020,2
p10021_s0021,0
p10021_s0022,2
p10021_s0023,2
p10021_s0024,0
p10021_s0025,0
p10021_s0026,2
p10021_s0027,0
p10021_s0028,0
p10021_s0029,0
p10021_s0030,0
p10021_s0031,2
p10021_s0032,2
p10021_s0033,0
p10021_s0034,2
p10021_s0035,2
p10021_s0036,0
p10021_s0037,0
p10021_s0038,0
p10021_s0039,2
p10021_s0040,2
p10021_s0041,0
p10021_s0042,0
p10021_s0043,2
p10021_s0044,2
p10021_s0045,2
p10022_s0001,1
p10023_s0001,1
p10023_s0002,0
p10023_s0003,0
p10023_s0004,0
p10023_s0005,0
p10023_s0006,1
p10023_s0007,2
p10023_s0008,0
p10023_s0009,0
p10024_s0001,1
p10024_s0002,0
p10024_s0003,2
p10024_s0004,0
p10024_s0005,0
p10024_s0006,0
p10024_s0007,2
p10025_s0001,1
p10026_s0001,1
p10027_s0001,1
p10027_s0002,0
p10028_s0001,1
p10029_s0001,1
p10029_s0002,0
p1003_s0001,1
p10030_s0001,1
p10031_s0001,1
p10032_s0001,1
p10032_s0002,0
p10032_s0003,0
p10032_s0004,0
p10032_s0005,2
p10032_s0006,2
p10032_s0007,2
p10032_s0008,2
p10032_s0009,0
p10032_s0010,0
p10032_s0011,0
p10032_s0012,2
p10032_s0013,0
p10032_s0014,2
p10032_s0015,2
p10032_s0016,2
p10032_s0017,0
p10032_s0018,0
p10032_s0019,2
p10032_s0020,2
p10032_s0021,0
p10032_s0022,0
p10032_s0023,2
p10032_s0024,2
p10032_s0025,2
p10032_s0026,0
p10032_s0027,0
p10032_s0028,0
p10032_s0029,2
p10032_s0030,0
p10032_s0031,0
p10032_s0032,2
p10032_s0033,0
p10032_s0034,2
p10032_s0035,0
p10032_s0036,0
p10032_s0037,2
p10032_s0038,2
p10032_s0039,2
p10032_s0040,2
p10032_s0041,2
p10032_s0042,2
p10032_s0043,0
p10032_s0044,0
p10032_s0045,2
p10032_s0046,2
p10032_s0047,2
p10032_s0048,2
p10032_s0049,0
p10032_s0050,2
p10032_s0051,2
p10032_s0052,2
p10032_s0053,2
p10032_s0054,0
p10032_s0055,2
p10032_s0056,2
p10032_s0057,0
p10032_s0058,2
p10032_s0059,2
p10032_s0060,2
p10032_s0061,0
p10032_s0062,0
p10032_s0063,2
p10032_s0064,0
p10032_s0065,2
p10032_s0066,0
p10032_s0067,2
p10032_s0068,2
p10032_s0069,2
p10032_s0070,2
p10032_s0071,0
p10032_s0072,2
p10032_s0073,0
p10032_s0074,0
p10032_s0075,2
p10032_s0076,0
p10032_s0077,0
p10032_s0078,0
p10032_s0079,0
p10032_s0080,0
p10032_s0081,2
p10032_s0082,2
p10032_s0083,2
p10032_s0084,0
p10032_s0085,0
p10032_s0086,2
p10032_s0087,2
p10032_s0088,2
p10032_s0089,0
p10032_s0090,2
p10032_s0091,2
p10032_s0092,2
p10032_s0093,2
p10032_s0094,0
p10032_s0095,2
p10032_s0096,2
p10032_s0097,0
p10032_s0098,2
p10032_s0099,2
p10032_s0100,0
p10032_s0101,2
p10032_s0102,2
p10032_s0103,2
p10032_s0104,2
p10032_s0105,0
p10032_s0106,2
p10032_s0107,0
p10032_s0108,2
p10032_s0109,0
p10032_s0110,0
p10032_s0111,2
p10032_s0112,0
p10032_s0113,0
p10032_s0114,2
p10032_s0115,0
p10032_s0116,2
p10032_s0117,2
p10032_s0118,2
p10032_s0119,0
p10032_s0120,2
p10032_s0121,2
p10032_s0122,0
p10032_s0123,2
p10032_s0124,2
p10032_s0125,2
p10032_s0126,2
p10032_s0127,2
p10032_s0128,0
p10032_s0129,2
p10032_s0130,2
p10032_s0131,2
p10032_s0132,2
p10033_s0001,1
p10033_s0002,0
p10034_s0001,1
p10035_s0001,1
p10035_s0002,0
p10035_s0003,0
p10035_s0004,0
p10035_s0005,2
p10036_s0001,1
p10036_s0002,2
p10036_s0003,0
p10036_s0004,1
p10036_s0005,0
p10037_s0001,1
p10037_s0002,2
p10037_s0003,0
p10037_s0004,2
p10037_s0005,2
p10038_s0001,1
p10038_s0002,0
p10038_s0003,2
p10038_s0004,0
p10038_s0005,0
p10038_s0006,0
p10038_s0007,0
p10038_s0008,0
p10038_s0009,0
p10038_s0010,0
p10038_s0011,0
p10038_s0012,0
p10038_s0013,0
p10038_s0014,0
p10038_s0015,2
p10038_s0016,0
p10038_s0017,2
p10038_s0018,2
p10038_s0019,0
p10038_s0020,0
