k,seed,bic,aic,min_cluster_pct,max_cluster_pct
4,11,1444372.220746331,1443960.7332819316,6.713413596930579,52.575176246007295
4,23,1477278.3057415301,1476866.8182771308,7.085751006445028,32.57952333251431
4,37,1379892.694660664,1379481.2071962648,6.71152355931883,44.23349524655541
4,41,1401573.9352988426,1401162.4478344433,6.76255457483604,53.1913285074373
4,53,1364005.5501290148,1363594.0626646155,6.71152355931883,53.68368330529778
5,11,1395709.6155081035,1395192.8638086254,7.1178816458447525,30.35305902587461
5,23,1403485.1836388495,1402968.4319393714,3.4105728704001206,55.64365230868095
5,37,1369980.2590763771,1369463.507376899,6.71813869095995,42.52112117031129
5,41,1425666.5104476993,1425149.7587482212,7.096146213309646,29.682095673703905
5,53,1398728.0944063438,1398211.3427068656,7.106541420174262,30.052543045606605
6,11,1236225.0558499845,1235603.0399154276,6.720973747377573,32.032357443913135
6,23,1286080.173925422,1285458.157990865,6.720973747377573,28.426165680697046
6,37,1286256.619505633,1285634.603571076,0.9676992572152185,33.07565820559829
6,41,1247992.0150947191,1247369.9991601622,6.71152355931883,30.22548148708159
6,53,1231482.5360303926,1230860.5200958357,6.730423935436315,29.266287399119246
7,11,1197735.920007876,1197008.63983824,6.714358615736453,26.6599255325181
7,23,1208830.5903346993,1208103.3101650635,2.707478878829689,29.04231794212705
7,37,1212105.489571731,1211378.2094020953,5.156967623655711,32.432100398797935
7,41,1191079.649992022,1190352.3698223862,6.715303634542328,22.109659982233644
7,53,1231299.7990348737,1230572.518865238,0.49991494830747135,39.63314369955962
8,11,1172896.0762083821,1172063.5318036675,1.7520648660908351,30.194295866487742
8,23,1181328.541933981,1180495.9975292664,6.368481732786482,24.836984255986692
8,37,1192899.8865008964,1192067.3420961818,3.7054187378328827,27.146610217543326
8,41,1177994.8820060787,1177162.3376013641,5.354476554083426,18.659396321986808
8,53,1187127.8083869098,1186295.2639821952,0.6737984085883308,26.39248521045569
