k,seed_a,seed_b,ari
4,11,23,0.5430129666546197
4,11,37,0.6627363281688508
4,11,41,0.4557397290119477
4,11,53,0.9198739974614751
4,23,37,0.38793357302251774
4,23,41,0.28346877642741525
4,23,53,0.5053349950041734
4,37,41,0.7088065898483101
4,37,53,0.6321423724127243
4,41,53,0.43559098217927605
5,11,23,0.4426997099709043
5,11,37,0.5450314736251138
5,11,41,0.3927946288870992
5,11,53,0.42820732961875524
5,23,37,0.6273622615734724
5,23,41,0.3454335094115313
5,23,53,0.38260061170479903
5,37,41,0.45646426532586815
5,37,53,0.42547419371399875
5,41,53,0.48784469068184366
6,11,23,0.45773171570431614
6,11,37,0.5347127851600614
6,11,41,0.5183557344768359
6,11,53,0.5408067864206141
6,23,37,0.5380829441745889
6,23,41,0.54373344557753
6,23,53,0.4741499529602026
6,37,41,0.8160266733838738
6,37,53,0.34591637996413765
6,41,53,0.3687448122906895
7,11,23,0.4790652546791594
7,11,37,0.43993655517521385
7,11,41,0.6329158804349337
7,11,53,0.6372771028805226
7,23,37,0.48845154549154896
7,23,41,0.6997323295024394
7,23,53,0.5908873387609161
7,37,41,0.5128929409088194
7,37,53,0.5954614105256745
7,41,53,0.5390249031950703
8,11,23,0.39898675646414067
8,11,37,0.4020275533740456
8,11,41,0.49466489931253654
8,11,53,0.3387677107412072
8,23,37,0.6766846887027397
8,23,41,0.5439105990822918
8,23,53,0.665622788366693
8,37,41,0.6076406299079468
8,37,53,0.7462609004115573
8,41,53,0.5948842463131218
