session_id,pid,session_index,gmm_label,max_posterior,normalized_entropy,log_likelihood_row,posterior_cluster_0,posterior_cluster_1,posterior_cluster_2,posterior_cluster_3
p1_s0001,p1,1,0,0.9252320490347653,0.197194043787372,-14.971287560679828,0.9252320490347653,0.07321118617367749,2.3510378136587532e-35,0.001556764791557569
p1_s0002,p1,2,0,0.5571889682185079,0.4957142476716129,-5.705850261811211,0.5571889682185079,0.4427488051915993,9.201283982078178e-82,6.222658989263136e-05
p1_s0003,p1,3,1,0.999978928476222,0.0001844198658075424,-5.20165211686537,2.5124324603821883e-06,0.999978928476222,1.8197898527315145e-110,1.8559091317834316e-05
p1_s0004,p1,4,0,0.9999351464104268,0.0005013040033802789,-4.534204438051464,0.9999351464104268,6.396477058693688e-05,7.558347822186906e-59,8.888189865299373e-07
p1_s0005,p1,5,3,1.0,-8.008566067362116e-16,-9.047134139419025,2.538410798971614e-41,7.713398898468619e-25,3.226433310355474e-171,1.0
p1_s0006,p1,6,0,0.9970297071763892,0.014626627642889885,-4.002778831507621,0.9970297071763892,0.0029668789487450205,1.0088440503164587e-71,3.4138748655002113e-06
p1_s0007,p1,7,1,0.9991360389525386,0.005095779041058526,-4.629344785785392,0.0008409038666772089,0.9991360389525386,7.980464497036458e-101,2.3057180784019976e-05
p1_s0008,p1,8,0,0.9998699706065938,0.0009496783024698251,-5.757304491298816,0.9998699706065938,0.00012444466573914418,4.308420795911401e-42,5.584727666886512e-06
p1_s0009,p1,9,0,0.9995905067572602,0.002604000944822084,-3.6622573323977323,0.9995905067572602,0.00040862482489697897,2.981551556543998e-66,8.684178427223881e-07
p1_s0010,p1,10,1,0.8194243811947111,0.3408216363012389,-5.746327661193238,0.1805543245942938,0.8194243811947111,2.198945567077155e-81,2.1294210994919924e-05
p1_s0011,p1,11,0,0.9997974752067137,0.0013999234854470681,-4.750660040318755,0.9997974752067137,0.00019948059094278422,7.465517255389672e-49,3.0442023434724514e-06
p1_s0012,p1,12,0,0.9999406724792729,0.0004627103742021244,-4.60544878132255,0.9999406724792729,5.841241293373165e-05,5.976392324273652e-60,9.151077932542135e-07
p1_s0013,p1,13,0,0.9998266235196873,0.0012114935028964616,-3.896701050139352,0.9998266235196873,0.00017265464496741704,1.1589958505208876e-61,7.218353454893049e-07
p1_s0014,p1,14,0,0.9998763023115173,0.0008951462798554207,-3.887370302404885,0.9998763023115173,0.00012301023223958913,8.655812314071454e-60,6.874562431095006e-07
