session_id,pid,session_index,gmm_label,max_posterior,normalized_entropy,log_likelihood_row,posterior_cluster_0,posterior_cluster_1,posterior_cluster_2,posterior_cluster_3,posterior_cluster_4
p1_s0001,p1,1,2,0.6586685543189568,0.40532059410327526,-14.819765944162413,0.001645173190911093,3.195083401474459e-35,0.6586685543189568,3.6966444400750155e-07,0.33968590282568883
p1_s0002,p1,2,3,0.5686353948885252,0.4254430861727283,-5.903489806121859,0.00011100974829260962,3.058222049034203e-81,0.43125359536276775,0.5686353948885252,4.1443638462097837e-13
p1_s0003,p1,3,3,0.9999885229001069,8.887296604326e-05,-4.188287407147746,1.1277974825204878e-05,3.0651730706045506e-110,1.991250614065474e-07,0.9999885229001069,6.4543129786754465e-15
p1_s0004,p1,4,2,0.9999925976352015,6.083205214502688e-05,-4.409280661305763,1.0674704005530356e-06,1.055361786523764e-58,0.9999925976352015,6.334894398287232e-06,1.3505593875199693e-19
p1_s0005,p1,5,0,1.0,-6.898203503520402e-16,-9.045720810485674,1.0,2.347927648819761e-170,2.0179914202373406e-41,2.5294815846558867e-31,1.1156297457082043e-34
p1_s0006,p1,6,2,0.9987848657792217,0.0058424835979549415,-4.01534654432598,4.852469892110829e-06,2.0927192891253687e-71,0.9987848657792217,0.0012102817508862277,5.165364206473325e-18
p1_s0007,p1,7,3,0.9998319219847777,0.0010488725274469066,-3.9797547371698165,1.8974995096240714e-05,1.5927431600221663e-100,0.00014910301927326567,0.9998319219847777,8.531057743309838e-13
p1_s0008,p1,8,2,0.9999891315272544,8.837262747591578e-05,-5.6898493798101555,6.897566577447054e-06,6.006751022215388e-42,0.9999891315272544,3.970453228401588e-06,4.5293962664692815e-10
p1_s0009,p1,9,2,0.999860676116833,0.0008592277471728733,-3.5677526892808484,1.1253002425052688e-06,4.748433910904769e-66,0.999860676116833,0.0001381985829245687,8.953199887552531e-22
p1_s0010,p1,10,3,0.898614174098207,0.20402224826634086,-5.501993252829178,2.6344136921126723e-05,4.459082773147596e-81,0.10135948176485796,0.898614174098207,1.388847020833756e-14
p1_s0011,p1,11,2,0.9999818573114816,0.0001401562322681175,-4.683404328877817,3.838327524233043e-06,1.1323348905545849e-48,0.9999818573114816,1.4304355199869421e-05,5.794637911688943e-12
p1_s0012,p1,12,2,0.9999942346716706,4.8531631695676074e-05,-4.4756443552393845,1.0879904841484944e-06,8.360504719066792e-60,0.9999942346716706,4.677337845360054e-06,9.66306765321666e-20
p1_s0013,p1,13,2,0.9999339969114746,0.00043881322414008076,-3.7959185536613256,9.350111176824819e-07,1.7015666509622456e-61,0.9999339969114746,6.506807740764508e-05,4.851850942759622e-23
p1_s0014,p1,14,2,0.999958210589986,0.000290423297129927,-3.78444796428313,8.812380091900529e-07,1.2410325149361246e-59,0.999958210589986,4.09081720048598e-05,3.15567726247405e-22
p1_s0015,p1,15,2,0.9997639559361554,0.0013778198216052309,-4.90849775811748,1.7200197788204054e-06,4.4800894407759797e-57,0.9997639559361554,0.00023432404406580206,1.346878562905089e-25
p1_s0016,p1,16,3,0.999989072348724,8.461541099504709e-05,-3.918458418761754,1.0859131820050734e-05,4.554940240873792e-109,6.851945535311512e-08,0.999989072348724,5.130417740237805e-16
p1_s0017,p1,17,3,0.9999890786161589,8.455409593557057e-05,-3.921975280748031,1.0858161367870614e-05,1.6164851408746796e-109,6.322247250526667e-08,0.9999890786161589,5.031015744852247e-16
p1_s0018,p1,18,3,0.9973817067228389,0.011538667736731834,-4.825938096821598,8.933124158246138e-05,2.9024625285632075e-98,0.0025289620286852465,0.9973817067228389,6.8931430838612054e-12
p1_s0019,p1,19,2,0.9998465194286119,0.0009375444493346754,-3.6672700255974493,1.320420244323092e-06,1.7452572851509984e-69,0.9998465194286119,0.00015216015114350869,3.3909418114565725e-21
p1_s0020,p1,20,2,0.9999808383394444,0.00014377888438328357,-3.97576787951236,1.059234504783435e-06,4.1323610777518924e-66,0.9999808383394444,1.8102426050619308e-05,1.866788396824702e-20
p1_s0021,p1,21,2,0.9999955566031911,3.836454206035201e-05,-4.669803636544778,1.1503385362125812e-06,4.1310248015152445e-58,0.9999955566031911,3.293058272638809e-06,1.4516343545699363e-19
p1_s0022,p1,22,2,0.6396556634071455,0.40624822563744334,-5.371216378514405,1.9924358405344307e-05,5.94065247365531e-71,0.6396556634071455,0.3603244122344368,1.255450287086182e-14
p1_s0023,p1,23,1,0.9999999999126814,1.3108705421503728e-09,-8.695179083789998,8.731934326257182e-11,0.9999999999126814,1.804129758753968e-19,1.6343527547928946e-16,8.798460118895086e-40
p1_s0024,p1,24,1,0.9999999999397113,9.189573275355591e-10,-6.290403239346378,6.028827885460325e-11,0.9999999999397113,4.634570432940055e-18,6.222275424664529e-16,1.8295406807901346e-33
p10_s0001,p10,1,2,0.9998744901318437,0.0008203800648331836,-8.556341594524545,2.854809443820242e-05,5.621982312113543e-65,0.9998744901318437,9.69539815282794e-05,7.792190547497514e-09
p10_s0002,p10,2,3,0.9996409585212056,0.001992571498342588,-8.204787261487764,0.0003590414784384904,8.012670161498953e-180,5.734326374085076e-17,0.9996409585212056,3.5568479935106757e-13
p10_s0003,p10,3,3,0.9999806055400123,0.0001428088014784632,-4.854752741108463,1.939378626301414e-05,9.607243657978061e-121,6.737248307018935e-10,0.9999806055400123,8.85787936389536e-20
