login_date_utc,sessions,pct,all_sessions,minimal_share_of_day_sessions_pct
2023-01-31,932,12.390321722946025,1418,65.72637517630466
2023-02-01,543,7.218824780643446,1737,31.26079447322971
2023-02-02,216,2.8715767083222548,1350,16.0
2023-02-04,131,1.7415580962509971,1173,11.167945439045184
2023-02-03,126,1.6750864131879821,1098,11.475409836065573
2023-02-05,110,1.4623770273863335,960,11.458333333333332
2022-08-19,107,1.4224940175485243,2650,4.037735849056603
2022-08-22,90,1.1964902951342729,2286,3.937007874015748
2022-08-20,84,1.1167242754586546,2544,3.30188679245283
2022-09-08,79,1.0502525923956394,1166,6.775300171526586
2023-02-06,75,0.9970752459452272,837,8.960573476702509
2022-08-21,75,0.9970752459452272,2503,2.9964043148222133
2023-02-07,75,0.9970752459452272,785,9.554140127388536
2022-08-23,72,0.9571922361074183,2062,3.4917555771096023
2023-03-29,70,0.9306035628822121,70,100.0
2022-08-25,63,0.8375432065939911,1740,3.620689655172414
2022-08-27,60,0.7976601967561818,1795,3.3426183844011144
2022-09-09,60,0.7976601967561818,1086,5.524861878453039
2022-08-24,59,0.7843658601435788,1837,3.211758301578661
2022-09-03,58,0.7710715235309757,1375,4.218181818181818
2022-09-06,58,0.7710715235309757,1231,4.711616571892771
2022-08-31,58,0.7710715235309757,1378,4.2089985486211905
2023-02-08,57,0.7577771869183728,646,8.823529411764707
2023-02-09,57,0.7577771869183728,576,9.895833333333332
2022-09-05,56,0.7444828503057698,1421,3.9408866995073892
2022-08-26,55,0.7311885136931667,1675,3.2835820895522385
2023-03-04,54,0.7178941770805637,393,13.740458015267176
2023-03-03,53,0.7045998404679606,359,14.763231197771587
2022-08-18,52,0.6913055038553576,1162,4.475043029259897
2022-09-04,50,0.6647168306301515,1374,3.6390101892285296
2022-08-28,49,0.6514224940175485,1702,2.8789659224441833
2022-09-10,48,0.6381281574049454,1192,4.026845637583892
2023-03-02,48,0.6381281574049454,334,14.37125748502994
2022-09-11,46,0.6115394841797395,1173,3.9215686274509802
2023-02-18,45,0.5982451475671364,476,9.453781512605042
2022-09-02,43,0.5716564743419303,1272,3.380503144654088
2022-09-14,43,0.5716564743419303,876,4.908675799086757
2023-02-17,42,0.5583621377293273,462,9.090909090909092
2023-02-12,41,0.5450678011167243,499,8.216432865731463
2022-08-30,41,0.5450678011167243,1401,2.9264810849393292
2023-02-10,40,0.5317734645041212,516,7.751937984496124
2022-08-29,38,0.5051847912789151,1560,2.435897435897436
2022-09-13,38,0.5051847912789151,1026,3.7037037037037033
2022-09-17,38,0.5051847912789151,873,4.352806414662084
2022-09-18,37,0.4918904546663122,929,3.982777179763186
2022-09-12,37,0.4918904546663122,982,3.7678207739307537
2023-02-16,36,0.47859611805370916,486,7.4074074074074066
2022-10-28,36,0.47859611805370916,321,11.214953271028037
2023-02-13,35,0.46530178144110607,453,7.72626931567329
2022-09-22,35,0.46530178144110607,630,5.555555555555555
2022-09-01,34,0.452007444828503,1281,2.6541764246682282
2022-09-16,34,0.452007444828503,805,4.22360248447205
2023-02-11,33,0.4387131082159,502,6.573705179282868
2022-09-07,33,0.4387131082159,1176,2.806122448979592
2022-09-21,32,0.42541877160329705,693,4.617604617604617
2023-03-28,32,0.42541877160329705,114,28.07017543859649
2022-10-05,32,0.42541877160329705,429,7.459207459207459
2022-09-20,31,0.41212443499069396,685,4.525547445255475
2023-03-05,31,0.41212443499069396,314,9.872611464968154
2023-02-19,31,0.41212443499069396,390,7.948717948717948
2023-03-06,30,0.3988300983780909,238,12.605042016806722
2022-09-30,29,0.38553576176548787,490,5.918367346938775
2022-09-15,29,0.38553576176548787,869,3.33716915995397
2023-02-20,29,0.38553576176548787,392,7.3979591836734695
2022-09-19,29,0.38553576176548787,776,3.7371134020618557
2022-10-03,28,0.3722414251528849,454,6.167400881057269
2022-09-26,28,0.3722414251528849,557,5.026929982046679
2023-03-26,28,0.3722414251528849,217,12.903225806451612
2022-10-30,27,0.35894708854028184,348,7.758620689655173
2023-03-11,27,0.35894708854028184,268,10.074626865671641
2022-11-22,27,0.35894708854028184,182,14.835164835164836
2023-02-25,27,0.35894708854028184,342,7.894736842105263
2022-10-01,27,0.35894708854028184,514,5.252918287937743
2022-10-29,26,0.3456527519276788,308,8.441558441558442
2022-11-03,26,0.3456527519276788,308,8.441558441558442
2022-10-27,26,0.3456527519276788,306,8.49673202614379
2023-02-23,26,0.3456527519276788,359,7.242339832869081
2022-09-25,26,0.3456527519276788,611,4.25531914893617
2023-01-21,26,0.3456527519276788,216,12.037037037037036
2023-02-15,25,0.33235841531507576,383,6.527415143603134
2022-10-23,25,0.33235841531507576,309,8.090614886731391
2022-10-04,24,0.3190640787024727,454,5.286343612334802
2023-01-19,24,0.3190640787024727,196,12.244897959183673
2022-11-06,24,0.3190640787024727,304,7.894736842105263
2022-09-27,24,0.3190640787024727,565,4.2477876106194685
2022-10-08,24,0.3190640787024727,457,5.25164113785558
2022-10-19,24,0.3190640787024727,306,7.8431372549019605
2022-10-02,24,0.3190640787024727,488,4.918032786885246
2022-09-23,24,0.3190640787024727,607,3.9538714991762767
2022-11-04,23,0.30576974208986973,287,8.013937282229964
2023-02-14,23,0.30576974208986973,381,6.036745406824147
2022-12-08,23,0.30576974208986973,166,13.855421686746988
2022-11-23,23,0.30576974208986973,215,10.69767441860465
2023-02-21,23,0.30576974208986973,362,6.353591160220995
2023-03-12,23,0.30576974208986973,237,9.70464135021097
2023-03-23,23,0.30576974208986973,179,12.849162011173185
2022-09-28,22,0.2924754054772667,500,4.3999999999999995
2023-03-10,22,0.2924754054772667,233,9.44206008583691
2022-10-09,22,0.2924754054772667,456,4.824561403508771
2022-09-24,22,0.2924754054772667,598,3.678929765886288
2022-11-09,22,0.2924754054772667,257,8.560311284046692
2022-11-25,22,0.2924754054772667,217,10.138248847926267
2023-01-23,21,0.27918106886466365,169,12.42603550295858
2023-03-21,21,0.27918106886466365,174,12.068965517241379
2022-11-11,21,0.27918106886466365,272,7.720588235294118
2022-09-29,21,0.27918106886466365,452,4.646017699115045
2022-10-07,21,0.27918106886466365,407,5.159705159705159
2022-10-17,21,0.27918106886466365,336,6.25
2022-10-15,21,0.27918106886466365,386,5.4404145077720205
2023-01-30,21,0.27918106886466365,250,8.4
2022-11-14,20,0.2658867322520606,254,7.874015748031496
2022-12-05,20,0.2658867322520606,214,9.345794392523365
2023-03-17,20,0.2658867322520606,173,11.560693641618498
2023-01-24,19,0.25259239563945757,253,7.5098814229249005
2022-10-11,19,0.25259239563945757,396,4.797979797979798
2023-02-26,19,0.25259239563945757,330,5.757575757575758
2022-12-11,19,0.25259239563945757,196,9.693877551020408
2023-02-24,19,0.25259239563945757,287,6.620209059233449
2022-11-28,19,0.25259239563945757,178,10.674157303370785
2023-03-07,19,0.25259239563945757,246,7.723577235772358
2023-03-24,19,0.25259239563945757,204,9.313725490196079
2022-12-03,18,0.23929805902685458,195,9.230769230769232
2023-03-01,18,0.23929805902685458,280,6.428571428571428
2023-02-28,18,0.23929805902685458,279,6.451612903225806
2022-11-01,18,0.23929805902685458,288,6.25
2022-11-20,18,0.23929805902685458,197,9.137055837563452
2022-12-04,18,0.23929805902685458,191,9.424083769633508
2023-01-28,17,0.2260037224142515,245,6.938775510204081
2022-11-19,17,0.2260037224142515,189,8.994708994708994
2022-10-31,17,0.2260037224142515,281,6.049822064056939
2023-02-22,17,0.2260037224142515,344,4.941860465116279
2022-11-18,17,0.2260037224142515,180,9.444444444444445
2022-10-16,17,0.2260037224142515,347,4.899135446685879
2022-11-27,17,0.2260037224142515,182,9.340659340659341
2022-10-06,17,0.2260037224142515,431,3.944315545243619
2023-01-25,17,0.2260037224142515,239,7.112970711297072
2023-01-16,17,0.2260037224142515,146,11.643835616438356
2023-03-25,17,0.2260037224142515,203,8.374384236453201
2022-12-01,17,0.2260037224142515,188,9.042553191489363
2022-10-20,16,0.21270938580164853,308,5.194805194805195
2022-12-07,16,0.21270938580164853,170,9.411764705882353
2023-03-16,16,0.21270938580164853,167,9.580838323353294
2022-12-06,16,0.21270938580164853,201,7.960199004975125
2023-03-19,16,0.21270938580164853,207,7.729468599033816
2023-01-27,16,0.21270938580164853,230,6.956521739130435
2023-01-18,16,0.21270938580164853,148,10.81081081081081
