minimal_sessions_per_player,players,pct_of_cluster_players
1,2390,59.929789368104316
2,850,21.31394182547643
3,351,8.801404212637914
4,165,4.137412236710131
5,82,2.0561685055165495
6,56,1.4042126379137412
7,20,0.5015045135406219
8,26,0.6519558676028084
9,10,0.25075225677031093
10,12,0.3009027081243731
11,8,0.20060180541624875
12,5,0.12537612838515547
13,3,0.07522567703109327
14,1,0.025075225677031094
17,2,0.05015045135406219
18,1,0.025075225677031094
22,1,0.025075225677031094
24,1,0.025075225677031094
26,1,0.025075225677031094
28,1,0.025075225677031094
29,1,0.025075225677031094
33,1,0.025075225677031094
