date,purchase_minimal_sessions,pct_purchase_minimal_sessions,purchase_events
2023-02-01,10,18.51851851851852,383
2023-01-31,7,12.962962962962962,387
2023-02-02,3,5.555555555555555,14
2023-03-03,2,3.7037037037037033,46
2023-02-05,2,3.7037037037037033,41
2023-02-06,2,3.7037037037037033,28
2022-09-06,2,3.7037037037037033,8
2022-08-22,2,3.7037037037037033,2
2022-11-16,1,1.8518518518518516,163
2022-09-02,1,1.8518518518518516,140
2022-08-28,1,1.8518518518518516,105
2022-09-10,1,1.8518518518518516,71
2022-09-13,1,1.8518518518518516,58
2022-11-05,1,1.8518518518518516,52
2023-01-19,1,1.8518518518518516,37
2023-02-04,1,1.8518518518518516,19
2022-10-03,1,1.8518518518518516,18
2022-11-21,1,1.8518518518518516,16
2022-10-08,1,1.8518518518518516,12
2022-09-09,1,1.8518518518518516,8
2022-09-28,1,1.8518518518518516,8
2022-08-27,1,1.8518518518518516,7
2022-08-18,1,1.8518518518518516,6
2022-10-14,1,1.8518518518518516,6
2023-02-13,1,1.8518518518518516,6
2023-02-21,1,1.8518518518518516,6
2023-02-19,1,1.8518518518518516,4
2022-08-26,1,1.8518518518518516,3
2022-10-17,1,1.8518518518518516,3
2022-08-25,1,1.8518518518518516,2
2022-09-03,1,1.8518518518518516,2
2023-02-09,1,1.8518518518518516,1
