session_id,pid,session_index,login_time_utc,exit_time_utc,duration_minutes,days_since_previous_session,trajectory_position_pct,has_next_session,primary_game_mode,items_purchased,jobs_started,jobs_resumed,jobs_completed,jobs_exited,tasks_completed
p705_s0032,p705,32,2023-01-31 20:01:25,2023-01-31 20:04:46,3.35,0.7043402777777777,1.0,False,,317,0,0,0,0,0
p1795_s0017,p1795,17,2023-02-01 18:39:35,2023-02-01 18:44:41,5.1,13.89181712962963,1.0,False,,261,0,0,0,0,0
p11186_s0063,p11186,63,2022-11-16 13:43:51,2022-11-16 13:46:45,2.9,4.0525925925925925,0.9841269841269841,True,,163,0,0,0,0,0
p10445_s0026,p10445,26,2022-09-02 17:18:20,2022-09-02 17:25:39,7.316666666666666,1.5776620370370371,0.9259259259259259,True,,140,0,0,0,0,0
p4680_s0004,p4680,4,2022-08-28 07:15:48,2022-08-28 07:20:49,5.016666666666667,5.08837962962963,1.0,False,,105,0,0,0,0,0
p9429_s0016,p9429,16,2022-09-10 18:59:35,2022-09-10 19:13:11,13.6,7.97744212962963,0.45454545454545453,True,,71,0,0,0,0,0
p7778_s0002,p7778,2,2023-02-01 12:53:57,2023-02-01 12:55:23,1.4333333333333331,0.0042592592592592,1.0,False,,70,0,0,0,0,0
p8414_s0010,p8414,10,2023-01-31 18:59:07,2023-01-31 19:00:50,1.7166666666666666,126.93715277777778,1.0,False,,61,0,0,0,0,0
p9438_s0011,p9438,11,2022-09-13 19:33:36,2022-09-13 19:52:51,19.25,4.040046296296296,0.5882352941176471,True,,58,0,0,0,0,0
p5574_s0004,p5574,4,2022-11-05 01:14:12,2022-11-05 01:15:43,1.5166666666666666,19.895115740740746,1.0,False,,52,0,0,0,0,0
p8808_s0027,p8808,27,2023-03-03 17:03:32,2023-03-03 17:07:48,4.266666666666667,4.349155092592593,0.9629629629629629,True,,45,0,0,0,0,0
p614_s0014,p614,14,2023-02-05 22:03:39,2023-02-05 22:06:04,2.4166666666666665,10.76630787037037,1.0,False,,40,0,0,0,0,0
p11159_s0011,p11159,11,2023-01-19 06:02:48,2023-01-19 06:06:57,4.15,0.0006828703703703,0.43478260869565216,True,,37,0,0,0,0,0
p2707_s0005,p2707,5,2023-02-06 09:33:49,2023-02-06 09:36:45,2.933333333333333,0.0002314814814814,0.3076923076923077,True,,25,0,0,0,0,0
p7961_s0014,p7961,14,2023-02-04 15:06:42,2023-02-04 15:07:56,1.2333333333333334,67.11481481481482,1.0,False,,19,0,0,0,0,0
p2293_s0026,p2293,26,2022-10-03 04:40:57,2022-10-03 05:55:50,74.88333333333334,17.95428240740741,0.5102040816326531,True,Career,18,0,0,0,1,0
p10472_s0013,p10472,13,2022-11-21 22:59:33,2022-11-21 23:00:52,1.3166666666666669,65.32518518518519,0.9230769230769231,True,,16,0,0,0,0,0
p5849_s0016,p5849,16,2023-02-01 01:16:48,2023-02-01 01:18:33,1.75,156.0959375,1.0,False,,16,0,0,0,0,0
p282_s0076,p282,76,2023-02-01 17:08:46,2023-02-01 17:12:06,3.333333333333333,0.970949074074074,1.0,False,,13,0,0,0,0,0
p4644_s0024,p4644,24,2022-10-08 23:06:09,2022-10-08 23:08:46,2.6166666666666667,0.6243171296296296,0.7931034482758621,True,,12,0,0,0,0,0
p7912_s0020,p7912,20,2023-02-02 18:18:38,2023-02-02 18:22:07,3.4833333333333334,58.11006944444444,1.0,False,,10,0,0,0,0,0
p617_s0002,p617,2,2022-09-09 05:43:11,2022-09-09 06:00:25,17.233333333333334,17.598761574074075,1.0,False,Career,8,0,0,0,1,0
p10004_s0023,p10004,23,2022-09-28 11:56:58,2022-09-28 11:59:24,2.433333333333333,0.8797222222222222,0.7857142857142857,True,,8,0,0,0,0,0
p252_s0018,p252,18,2022-08-27 09:30:54,2022-08-27 09:31:39,0.75,0.0001736111111111,0.5666666666666667,True,,7,0,0,0,0,0
p3085_s0002,p3085,2,2022-08-18 21:39:53,2022-08-18 21:40:17,0.4,0.0005208333333333,0.1,True,,6,0,0,0,0,0
p5073_s0007,p5073,7,2022-10-14 15:14:11,2022-10-14 15:15:03,0.8666666666666667,8.033391203703705,1.0,False,,6,0,0,0,0,0
p1085_s0007,p1085,7,2023-02-01 03:27:07,2023-02-01 03:28:48,1.6833333333333331,59.6331712962963,1.0,False,,6,0,0,0,0,0
p6168_s0008,p6168,8,2023-02-13 22:07:43,2023-02-13 22:08:16,0.55,2.136550925925926,1.0,False,,6,0,0,0,0,0
p5362_s0007,p5362,7,2023-02-21 16:08:57,2023-02-21 16:09:32,0.5833333333333334,2.701539351851852,0.8571428571428571,True,,6,0,0,0,0,0
p5825_s0011,p5825,11,2022-09-06 06:50:07,2022-09-06 06:50:59,0.8666666666666667,2.419375,0.9090909090909091,True,,5,0,0,0,0,0
p401_s0035,p401,35,2023-01-31 20:32:12,2023-01-31 20:33:21,1.15,0.0033912037037037,1.0,False,,5,0,0,0,0,0
p10434_s0020,p10434,20,2023-02-01 20:14:27,2023-02-01 20:22:31,8.066666666666666,41.66,1.0,False,,5,0,0,0,0,0
p4323_s0012,p4323,12,2023-02-01 02:11:13,2023-02-01 02:16:05,4.866666666666666,51.77045138888889,1.0,False,,4,0,0,0,0,0
p7433_s0005,p7433,5,2023-02-19 17:53:51,2023-02-19 17:56:54,3.05,180.9070601851852,1.0,False,,4,0,0,0,0,0
p7760_s0002,p7760,2,2022-08-26 20:15:08,2022-08-26 21:58:13,103.08333333333331,0.5895370370370371,0.1,True,Career,3,0,0,0,1,0
p9840_s0011,p9840,11,2022-09-06 17:51:35,2022-09-06 17:52:30,0.9166666666666666,0.0004976851851851,0.8333333333333334,True,,3,0,0,0,0,0
p4894_s0035,p4894,35,2022-10-17 22:52:10,2022-10-17 22:54:20,2.1666666666666665,0.8527083333333333,0.7391304347826086,True,,3,0,0,0,0,0
p142_s0028,p142,28,2023-02-01 03:34:48,2023-02-01 03:35:37,0.8166666666666667,63.75635416666667,1.0,False,,3,0,0,0,0,0
p6254_s0003,p6254,3,2023-02-01 21:26:09,2023-02-01 21:26:51,0.7,0.0196180555555555,0.15384615384615385,True,,3,0,0,0,0,0
p1910_s0028,p1910,28,2023-02-02 06:23:30,2023-02-02 06:24:09,0.65,0.0027546296296296,0.7105263157894737,True,,3,0,0,0,0,0
p9183_s0005,p9183,5,2023-02-06 20:10:52,2023-02-06 20:12:09,1.2833333333333334,29.839953703703703,1.0,False,,3,0,0,0,0,0
p112_s0018,p112,18,2022-08-25 20:23:43,2022-08-25 20:24:47,1.0666666666666669,0.1695949074074074,0.7083333333333334,True,,2,0,0,0,0,0
p9000_s0013,p9000,13,2022-09-03 17:55:11,2022-09-03 17:57:03,1.8666666666666667,1.9354282407407408,0.4444444444444444,True,,2,0,0,0,0,0
p707_s0048,p707,48,2023-02-01 13:40:23,2023-02-01 13:43:03,2.6666666666666665,0.0025694444444444,0.9791666666666666,True,,2,0,0,0,0,0
p9948_s0003,p9948,3,2022-08-22 15:03:55,2022-08-22 15:42:06,38.18333333333333,2.006597222222222,0.4,True,Career,1,0,0,0,1,0
p9352_s0003,p9352,3,2022-08-22 22:57:56,2022-08-22 23:53:57,56.016666666666666,0.0645833333333333,0.125,True,Career,1,0,0,1,1,1
p3220_s0017,p3220,17,2023-01-31 17:59:10,2023-01-31 18:00:00,0.8333333333333334,0.0043518518518518,1.0,False,,1,0,0,0,0,0
p2680_s0202,p2680,202,2023-01-31 19:54:05,2023-01-31 19:57:46,3.683333333333333,0.0823842592592592,1.0,False,,1,0,0,0,0,0
p1608_s0008,p1608,8,2023-01-31 20:34:30,2023-01-31 20:36:48,2.3,44.548032407407405,1.0,False,,1,0,0,0,0,0
p3943_s0008,p3943,8,2023-01-31 21:04:37,2023-01-31 21:10:12,5.583333333333333,0.020011574074074,0.4375,True,,1,0,0,0,0,0
p2000_s0075,p2000,75,2023-02-02 18:29:39,2023-02-02 18:31:51,2.2,13.983078703703704,0.961038961038961,True,,1,0,0,0,0,0
p1235_s0079,p1235,79,2023-02-05 06:09:24,2023-02-05 06:14:39,5.25,31.33164351851852,0.975,True,,1,0,0,0,0,0
p1335_s0017,p1335,17,2023-02-09 03:21:31,2023-02-09 03:25:50,4.316666666666666,101.96131944444444,0.8888888888888888,True,,1,0,0,0,0,0
p4933_s0004,p4933,4,2023-03-03 00:24:49,2023-03-03 00:27:20,2.5166666666666666,29.044907407407408,1.0,False,,1,0,0,0,0,0
