pc,eigenvalue,explained_variance_ratio,cumulative_explained_variance
PC1,4.540166986010233,0.3783472488341653,0.3783472488341653
PC2,1.8875736891506774,0.1572978074292145,0.5356450562633799
PC3,1.3089212360937108,0.10907676967446993,0.6447218259378498
PC4,0.9873718864375762,0.08228099053646018,0.72700281647431
PC5,0.8981240144850516,0.0748436678737502,0.8018464843480602
PC6,0.6548143890635972,0.054567865755296784,0.856414350103357
PC7,0.6221223122336371,0.05184352601946692,0.9082578761228239
PC8,0.38807918736806385,0.03233993228067022,0.9405978084034942
PC9,0.3049369673693814,0.02541141394744706,0.9660092223509412
PC10,0.23934713749066763,0.019945594790887877,0.9859548171418291
PC11,0.11990877502874078,0.009992397919061185,0.9959472150608902
PC12,0.048633419269320625,0.00405278493910983,1.0
