pid,n_sessions,n_transitions,first_session_id,last_session_id,first_state,last_state,state_sequence,session_id_sequence,has_minimal_state,has_purchase_anomaly,update_window_sessions
p1,24,23,p1_s0001,p1_s0024,2,4,2 1 1 2 3 2 1 2 2 1 2 2 2 2 2 1 1 1 2 2 2 2 4 4,p1_s0001 p1_s0002 p1_s0003 p1_s0004 p1_s0005 p1_s0006 p1_s0007 p1_s0008 p1_s0009 p1_s0010 p1_s0011 p1_s0012 p1_s0013 p1_s0014 p1_s0015 p1_s0016 p1_s0017 p1_s0018 p1_s0019 p1_s0020 p1_s0021 p1_s0022 p1_s0023 p1_s0024,True,False,1
p10,15,14,p10_s0001,p10_s0015,2,1,2 1 1 1 2 1 1 1 1 2 1 2 1 2 1,p10_s0001 p10_s0002 p10_s0003 p10_s0004 p10_s0005 p10_s0006 p10_s0007 p10_s0008 p10_s0009 p10_s0010 p10_s0011 p10_s0012 p10_s0013 p10_s0014 p10_s0015,False,False,0
p100,1,0,p100_s0001,p100_s0001,2,2,2,p100_s0001,False,False,0
p1000,1,0,p1000_s0001,p1000_s0001,0,0,0,p1000_s0001,False,False,0
p10000,2,1,p10000_s0001,p10000_s0002,0,1,0 1,p10000_s0001 p10000_s0002,False,False,0
p10001,1,0,p10001_s0001,p10001_s0001,0,0,0,p10001_s0001,False,False,1
p10002,8,7,p10002_s0001,p10002_s0008,3,4,3 1 1 1 1 1 2 4,p10002_s0001 p10002_s0002 p10002_s0003 p10002_s0004 p10002_s0005 p10002_s0006 p10002_s0007 p10002_s0008,True,False,6
p10003,11,10,p10003_s0001,p10003_s0011,3,4,3 2 1 1 2 2 1 2 1 4 4,p10003_s0001 p10003_s0002 p10003_s0003 p10003_s0004 p10003_s0005 p10003_s0006 p10003_s0007 p10003_s0008 p10003_s0009 p10003_s0010 p10003_s0011,True,False,1
p10004,29,28,p10004_s0001,p10004_s0029,0,2,0 1 1 1 2 1 1 1 1 1 1 2 1 2 1 1 2 2 1 1 1 1 4 2 1 2 1 2 2,p10004_s0001 p10004_s0002 p10004_s0003 p10004_s0004 p10004_s0005 p10004_s0006 p10004_s0007 p10004_s0008 p10004_s0009 p10004_s0010 p10004_s0011 p10004_s0012 p10004_s0013 p10004_s0014 p10004_s0015 p10004_s0016 p10004_s0017 p10004_s0018 p10004_s0019 p10004_s0020 p10004_s0021 p10004_s0022 p10004_s0023 p10004_s0024 p10004_s0025 p10004_s0026 p10004_s0027 p10004_s0028 p10004_s0029,True,True,0
p10007,15,14,p10007_s0001,p10007_s0015,3,4,3 2 3 1 0 3 1 1 1 1 1 3 4 4 4,p10007_s0001 p10007_s0002 p10007_s0003 p10007_s0004 p10007_s0005 p10007_s0006 p10007_s0007 p10007_s0008 p10007_s0009 p10007_s0010 p10007_s0011 p10007_s0012 p10007_s0013 p10007_s0014 p10007_s0015,True,False,3
p10008,4,3,p10008_s0001,p10008_s0004,0,4,0 1 1 4,p10008_s0001 p10008_s0002 p10008_s0003 p10008_s0004,True,False,1
p10009,10,9,p10009_s0001,p10009_s0010,0,4,0 2 1 4 1 1 1 4 2 4,p10009_s0001 p10009_s0002 p10009_s0003 p10009_s0004 p10009_s0005 p10009_s0006 p10009_s0007 p10009_s0008 p10009_s0009 p10009_s0010,True,False,1
p1001,26,25,p1001_s0001,p1001_s0026,0,4,0 1 1 1 1 1 1 1 2 4 1 2 1 1 3 1 3 1 1 1 3 3 2 1 1 4,p1001_s0001 p1001_s0002 p1001_s0003 p1001_s0004 p1001_s0005 p1001_s0006 p1001_s0007 p1001_s0008 p1001_s0009 p1001_s0010 p1001_s0011 p1001_s0012 p1001_s0013 p1001_s0014 p1001_s0015 p1001_s0016 p1001_s0017 p1001_s0018 p1001_s0019 p1001_s0020 p1001_s0021 p1001_s0022 p1001_s0023 p1001_s0024 p1001_s0025 p1001_s0026,True,False,1
p10010,2,1,p10010_s0001,p10010_s0002,2,1,2 1,p10010_s0001 p10010_s0002,False,False,0
p10011,10,9,p10011_s0001,p10011_s0010,0,1,0 2 1 1 2 1 1 1 2 1,p10011_s0001 p10011_s0002 p10011_s0003 p10011_s0004 p10011_s0005 p10011_s0006 p10011_s0007 p10011_s0008 p10011_s0009 p10011_s0010,False,False,0
p10012,3,2,p10012_s0001,p10012_s0003,2,1,2 2 1,p10012_s0001 p10012_s0002 p10012_s0003,False,False,0
p10013,9,8,p10013_s0001,p10013_s0009,0,3,0 4 1 3 2 1 1 1 3,p10013_s0001 p10013_s0002 p10013_s0003 p10013_s0004 p10013_s0005 p10013_s0006 p10013_s0007 p10013_s0008 p10013_s0009,True,False,0
p10014,12,11,p10014_s0001,p10014_s0012,0,1,0 2 2 2 1 2 2 1 2 2 2 1,p10014_s0001 p10014_s0002 p10014_s0003 p10014_s0004 p10014_s0005 p10014_s0006 p10014_s0007 p10014_s0008 p10014_s0009 p10014_s0010 p10014_s0011 p10014_s0012,False,False,3
p10015,9,8,p10015_s0001,p10015_s0009,0,2,0 1 2 1 1 3 1 1 2,p10015_s0001 p10015_s0002 p10015_s0003 p10015_s0004 p10015_s0005 p10015_s0006 p10015_s0007 p10015_s0008 p10015_s0009,False,False,1
p10016,11,10,p10016_s0001,p10016_s0011,0,2,0 1 3 1 4 1 1 1 2 1 2,p10016_s0001 p10016_s0002 p10016_s0003 p10016_s0004 p10016_s0005 p10016_s0006 p10016_s0007 p10016_s0008 p10016_s0009 p10016_s0010 p10016_s0011,True,False,6
p10017,1,0,p10017_s0001,p10017_s0001,4,4,4,p10017_s0001,True,False,0
p10018,13,12,p10018_s0001,p10018_s0013,0,2,0 1 1 1 1 1 2 1 4 2 1 1 2,p10018_s0001 p10018_s0002 p10018_s0003 p10018_s0004 p10018_s0005 p10018_s0006 p10018_s0007 p10018_s0008 p10018_s0009 p10018_s0010 p10018_s0011 p10018_s0012 p10018_s0013,True,False,4
p10019,12,11,p10019_s0001,p10019_s0012,0,4,0 1 2 2 2 1 1 4 4 4 2 4,p10019_s0001 p10019_s0002 p10019_s0003 p10019_s0004 p10019_s0005 p10019_s0006 p10019_s0007 p10019_s0008 p10019_s0009 p10019_s0010 p10019_s0011 p10019_s0012,True,False,1
p1002,1,0,p1002_s0001,p1002_s0001,0,0,0,p1002_s0001,False,False,0
p10020,34,33,p10020_s0001,p10020_s0034,0,1,0 1 1 1 1 1 2 1 2 1 2 1 1 1 1 2 2 1 1 1 1 1 2 1 1 1 2 1 1 1 2 2 2 1,p10020_s0001 p10020_s0002 p10020_s0003 p10020_s0004 p10020_s0005 p10020_s0006 p10020_s0007 p10020_s0008 p10020_s0009 p10020_s0010 p10020_s0011 p10020_s0012 p10020_s0013 p10020_s0014 p10020_s0015 p10020_s0016 p10020_s0017 p10020_s0018 p10020_s0019 p10020_s0020 p10020_s0021 p10020_s0022 p10020_s0023 p10020_s0024 p10020_s0025 p10020_s0026 p10020_s0027 p10020_s0028 p10020_s0029 p10020_s0030 p10020_s0031 p10020_s0032 p10020_s0033 p10020_s0034,False,False,0
