pid,transition_index_from_prev,from_session_id,to_session_id,from_state,to_state,transition_gap_days,is_update_window_2023_01_31_to_2023_02_07,is_minimal_cluster_purchase_anomaly
p1,0,p1_s0001,p1_s0002,2,1,0.02619212962962963,False,False
p1,1,p1_s0002,p1_s0003,1,1,0.0005555555555555556,False,False
p1,2,p1_s0003,p1_s0004,1,2,0.09863425925925925,False,False
p1,3,p1_s0004,p1_s0005,2,3,0.6345601851851852,False,False
p1,4,p1_s0005,p1_s0006,3,2,0.054733796296296294,False,False
p1,5,p1_s0006,p1_s0007,2,1,0.11347222222222222,False,False
p1,6,p1_s0007,p1_s0008,1,2,0.16637731481481483,False,False
p1,7,p1_s0008,p1_s0009,2,2,1.6627314814814815,False,False
p1,8,p1_s0009,p1_s0010,2,1,0.3250925925925926,False,False
p1,9,p1_s0010,p1_s0011,1,2,0.5267824074074074,False,False
p1,10,p1_s0011,p1_s0012,2,2,0.032407407407407406,False,False
p1,11,p1_s0012,p1_s0013,2,2,3.2439699074074073,False,False
p1,12,p1_s0013,p1_s0014,2,2,2.610335648148148,False,False
p1,13,p1_s0014,p1_s0015,2,2,9.476585648148149,False,False
p1,14,p1_s0015,p1_s0016,2,1,0.906412037037037,False,False
p1,15,p1_s0016,p1_s0017,1,1,0.8902314814814815,False,False
p1,16,p1_s0017,p1_s0018,1,1,0.07501157407407408,False,False
p1,17,p1_s0018,p1_s0019,1,2,0.7985648148148148,False,False
p1,18,p1_s0019,p1_s0020,2,2,0.13532407407407407,False,False
p1,19,p1_s0020,p1_s0021,2,2,0.02832175925925926,False,False
p1,20,p1_s0021,p1_s0022,2,2,0.7372337962962963,False,False
p1,21,p1_s0022,p1_s0023,2,4,102.78195601851851,False,False
p1,22,p1_s0023,p1_s0024,4,4,40.30954861111111,False,False
p10,0,p10_s0001,p10_s0002,2,1,0.4882638888888889,False,False
p10,1,p10_s0002,p10_s0003,1,1,3.9646875,False,False
p10,2,p10_s0003,p10_s0004,1,1,0.34534722222222225,False,False
p10,3,p10_s0004,p10_s0005,1,2,0.027523148148148147,False,False
p10,4,p10_s0005,p10_s0006,2,1,0.3768518518518518,False,False
p10,5,p10_s0006,p10_s0007,1,1,0.21105324074074075,False,False
p10,6,p10_s0007,p10_s0008,1,1,0.3879513888888889,False,False
p10,7,p10_s0008,p10_s0009,1,1,0.20877314814814815,False,False
p10,8,p10_s0009,p10_s0010,1,2,0.7692824074074074,False,False
p10,9,p10_s0010,p10_s0011,2,1,1.0006134259259258,False,False
p10,10,p10_s0011,p10_s0012,1,2,0.8104745370370371,False,False
p10,11,p10_s0012,p10_s0013,2,1,0.7200115740740741,False,False
p10,12,p10_s0013,p10_s0014,1,2,0.9102430555555555,False,False
p10,13,p10_s0014,p10_s0015,2,1,0.5574421296296296,False,False
p10000,0,p10000_s0001,p10000_s0002,0,1,12.963854166666666,False,False
p10002,0,p10002_s0001,p10002_s0002,3,1,0.025347222222222222,True,False
p10002,1,p10002_s0002,p10002_s0003,1,1,2.0305671296296297,True,False
p10002,2,p10002_s0003,p10002_s0004,1,1,0.5366087962962963,True,False
p10002,3,p10002_s0004,p10002_s0005,1,1,2.1097800925925925,True,False
p10002,4,p10002_s0005,p10002_s0006,1,1,0.8323611111111111,True,False
p10002,5,p10002_s0006,p10002_s0007,1,2,1.9707407407407407,True,False
p10002,6,p10002_s0007,p10002_s0008,2,4,2.824050925925926,False,False
p10003,0,p10003_s0001,p10003_s0002,3,2,0.0010648148148148149,False,False
p10003,1,p10003_s0002,p10003_s0003,2,1,0.9363773148148148,False,False
p10003,2,p10003_s0003,p10003_s0004,1,1,0.2263888888888889,False,False
p10003,3,p10003_s0004,p10003_s0005,1,2,0.9351736111111111,False,False
p10003,4,p10003_s0005,p10003_s0006,2,2,0.674224537037037,False,False
p10003,5,p10003_s0006,p10003_s0007,2,1,0.8943287037037037,False,False
p10003,6,p10003_s0007,p10003_s0008,1,2,0.2597800925925926,False,False
p10003,7,p10003_s0008,p10003_s0009,2,1,3.8657175925925924,False,False
p10003,8,p10003_s0009,p10003_s0010,1,4,11.98207175925926,False,False
p10003,9,p10003_s0010,p10003_s0011,4,4,145.8210300925926,False,False
p10004,0,p10004_s0001,p10004_s0002,0,1,0.15710648148148149,False,False
p10004,1,p10004_s0002,p10004_s0003,1,1,1.5779282407407407,False,False
p10004,2,p10004_s0003,p10004_s0004,1,1,0.08388888888888889,False,False
p10004,3,p10004_s0004,p10004_s0005,1,2,0.16064814814814815,False,False
p10004,4,p10004_s0005,p10004_s0006,2,1,4.510219907407407,False,False
p10004,5,p10004_s0006,p10004_s0007,1,1,0.9422222222222222,False,False
p10004,6,p10004_s0007,p10004_s0008,1,1,0.8392824074074074,False,False
p10004,7,p10004_s0008,p10004_s0009,1,1,0.021377314814814814,False,False
p10004,8,p10004_s0009,p10004_s0010,1,1,0.8781018518518519,False,False
p10004,9,p10004_s0010,p10004_s0011,1,1,1.920798611111111,False,False
p10004,10,p10004_s0011,p10004_s0012,1,2,0.9407986111111111,False,False
p10004,11,p10004_s0012,p10004_s0013,2,1,0.057569444444444444,False,False
p10004,12,p10004_s0013,p10004_s0014,1,2,0.36962962962962964,False,False
p10004,13,p10004_s0014,p10004_s0015,2,1,11.329143518518519,False,False
p10004,14,p10004_s0015,p10004_s0016,1,1,0.21046296296296296,False,False
p10004,15,p10004_s0016,p10004_s0017,1,2,0.8169097222222222,False,False
p10004,16,p10004_s0017,p10004_s0018,2,2,0.03319444444444444,False,False
p10004,17,p10004_s0018,p10004_s0019,2,1,4.803576388888889,False,False
p10004,18,p10004_s0019,p10004_s0020,1,1,0.9262731481481481,False,False
p10004,19,p10004_s0020,p10004_s0021,1,1,5.087453703703703,False,False
p10004,20,p10004_s0021,p10004_s0022,1,1,0.9463541666666667,False,False
p10004,21,p10004_s0022,p10004_s0023,1,4,0.8797222222222222,False,False
p10004,22,p10004_s0023,p10004_s0024,4,2,2.035416666666667,False,True
p10004,23,p10004_s0024,p10004_s0025,2,1,2.853125,False,False
p10004,24,p10004_s0025,p10004_s0026,1,2,1.0744444444444445,False,False
p10004,25,p10004_s0026,p10004_s0027,2,1,0.00030092592592592595,False,False
p10004,26,p10004_s0027,p10004_s0028,1,2,12.909618055555555,False,False
p10004,27,p10004_s0028,p10004_s0029,2,2,0.030439814814814815,False,False
p10007,0,p10007_s0001,p10007_s0002,3,2,0.1401388888888889,False,False
p10007,1,p10007_s0002,p10007_s0003,2,3,5.803125,False,False
p10007,2,p10007_s0003,p10007_s0004,3,1,1.920798611111111,False,False
p10007,3,p10007_s0004,p10007_s0005,1,0,0.16497685185185185,False,False
p10007,4,p10007_s0005,p10007_s0006,0,3,0.19921296296296295,False,False
p10007,5,p10007_s0006,p10007_s0007,3,1,4.223958333333333,False,False
p10007,6,p10007_s0007,p10007_s0008,1,1,2.3553587962962963,False,False
p10007,7,p10007_s0008,p10007_s0009,1,1,3.986076388888889,False,False
p10007,8,p10007_s0009,p10007_s0010,1,1,5.77306712962963,False,False
p10007,9,p10007_s0010,p10007_s0011,1,1,7.403912037037037,False,False
p10007,10,p10007_s0011,p10007_s0012,1,3,4.026041666666667,False,False
p10007,11,p10007_s0012,p10007_s0013,3,4,84.9528125,False,False
p10007,12,p10007_s0013,p10007_s0014,4,4,0.004016203703703704,True,False
p10007,13,p10007_s0014,p10007_s0015,4,4,0.007743055555555556,True,False
p10008,0,p10008_s0001,p10008_s0002,0,1,7.7906712962962965,False,False
p10008,1,p10008_s0002,p10008_s0003,1,1,19.095833333333335,False,False
p10008,2,p10008_s0003,p10008_s0004,1,4,123.04071759259259,False,False
p10009,0,p10009_s0001,p10009_s0002,0,2,6.301354166666667,False,False
p10009,1,p10009_s0002,p10009_s0003,2,1,0.9479050925925926,False,False
p10009,2,p10009_s0003,p10009_s0004,1,4,7.59800925925926,False,False
p10009,3,p10009_s0004,p10009_s0005,4,1,0.4089236111111111,False,False
p10009,4,p10009_s0005,p10009_s0006,1,1,0.39230324074074074,False,False
p10009,5,p10009_s0006,p10009_s0007,1,1,3.837083333333333,False,False
p10009,6,p10009_s0007,p10009_s0008,1,4,56.95861111111111,False,False
p10009,7,p10009_s0008,p10009_s0009,4,2,64.36270833333333,False,False
p10009,8,p10009_s0009,p10009_s0010,2,4,26.099305555555556,False,False
p1001,0,p1001_s0001,p1001_s0002,0,1,16.900462962962962,False,False
p1001,1,p1001_s0002,p1001_s0003,1,1,6.790636574074074,False,False
p1001,2,p1001_s0003,p1001_s0004,1,1,1.8131481481481482,False,False
p1001,3,p1001_s0004,p1001_s0005,1,1,8.733969907407408,False,False
p1001,4,p1001_s0005,p1001_s0006,1,1,5.911203703703704,False,False
p1001,5,p1001_s0006,p1001_s0007,1,1,0.9458333333333333,False,False
p1001,6,p1001_s0007,p1001_s0008,1,1,1.653912037037037,False,False
p1001,7,p1001_s0008,p1001_s0009,1,2,16.12408564814815,False,False
p1001,8,p1001_s0009,p1001_s0010,2,4,1.5211342592592592,False,False
p1001,9,p1001_s0010,p1001_s0011,4,1,5.376354166666666,False,False
p1001,10,p1001_s0011,p1001_s0012,1,2,28.985775462962962,False,False
p1001,11,p1001_s0012,p1001_s0013,2,1,4.9135532407407405,False,False
p1001,12,p1001_s0013,p1001_s0014,1,1,1.9390162037037038,False,False
p1001,13,p1001_s0014,p1001_s0015,1,3,13.962268518518519,False,False
p1001,14,p1001_s0015,p1001_s0016,3,1,1.9372453703703705,False,False
p1001,15,p1001_s0016,p1001_s0017,1,3,1.6310416666666667,False,False
p1001,16,p1001_s0017,p1001_s0018,3,1,0.7737731481481481,False,False
p1001,17,p1001_s0018,p1001_s0019,1,1,0.522337962962963,False,False
p1001,18,p1001_s0019,p1001_s0020,1,1,0.27369212962962963,False,False
p1001,19,p1001_s0020,p1001_s0021,1,3,13.625451388888889,False,False
p1001,20,p1001_s0021,p1001_s0022,3,3,1.8955208333333333,False,False
p1001,21,p1001_s0022,p1001_s0023,3,2,4.941435185185185,False,False
p1001,22,p1001_s0023,p1001_s0024,2,1,8.837581018518518,False,False
p1001,23,p1001_s0024,p1001_s0025,1,1,4.976307870370371,False,False
p1001,24,p1001_s0025,p1001_s0026,1,4,7.385879629629629,False,False
p10010,0,p10010_s0001,p10010_s0002,2,1,181.9,False,False
p10011,0,p10011_s0001,p10011_s0002,0,2,0.09894675925925926,False,False
p10011,1,p10011_s0002,p10011_s0003,2,1,0.7754745370370371,False,False
p10011,2,p10011_s0003,p10011_s0004,1,1,0.9139351851851852,False,False
p10011,3,p10011_s0004,p10011_s0005,1,2,4.236666666666666,False,False
p10011,4,p10011_s0005,p10011_s0006,2,1,0.8914236111111111,False,False
p10011,5,p10011_s0006,p10011_s0007,1,1,1.9117592592592592,False,False
p10011,6,p10011_s0007,p10011_s0008,1,1,2.0534837962962964,False,False
p10011,7,p10011_s0008,p10011_s0009,1,2,1.5838425925925925,False,False
p10011,8,p10011_s0009,p10011_s0010,2,1,0.2657523148148148,False,False
p10012,0,p10012_s0001,p10012_s0002,2,2,14.812905092592592,False,False
p10012,1,p10012_s0002,p10012_s0003,2,1,5.104351851851852,False,False
p10013,0,p10013_s0001,p10013_s0002,0,4,1.415486111111111,False,False
p10013,1,p10013_s0002,p10013_s0003,4,1,6.511967592592592,False,False
p10013,2,p10013_s0003,p10013_s0004,1,3,0.6590277777777778,False,False
p10013,3,p10013_s0004,p10013_s0005,3,2,3.7394675925925926,False,False
p10013,4,p10013_s0005,p10013_s0006,2,1,4.080648148148148,False,False
p10013,5,p10013_s0006,p10013_s0007,1,1,0.9436574074074074,False,False
p10013,6,p10013_s0007,p10013_s0008,1,1,1.041099537037037,False,False
p10013,7,p10013_s0008,p10013_s0009,1,3,2.7516550925925927,False,False
p10014,0,p10014_s0001,p10014_s0002,0,2,0.9506134259259259,False,False
p10014,1,p10014_s0002,p10014_s0003,2,2,0.9723379629629629,False,False
p10014,2,p10014_s0003,p10014_s0004,2,2,3.9929282407407407,False,False
p10014,3,p10014_s0004,p10014_s0005,2,1,8.496435185185184,False,False
p10014,4,p10014_s0005,p10014_s0006,1,2,1.1031134259259259,False,False
p10014,5,p10014_s0006,p10014_s0007,2,2,8.13574074074074,False,False
p10014,6,p10014_s0007,p10014_s0008,2,1,143.25135416666666,False,False
p10014,7,p10014_s0008,p10014_s0009,1,2,0.9555671296296296,True,False
p10014,8,p10014_s0009,p10014_s0010,2,2,3.0259027777777776,True,False
p10014,9,p10014_s0010,p10014_s0011,2,2,0.9772916666666667,True,False
p10014,10,p10014_s0011,p10014_s0012,2,1,4.991527777777778,False,False
p10015,0,p10015_s0001,p10015_s0002,0,1,17.505150462962963,False,False
p10015,1,p10015_s0002,p10015_s0003,1,2,10.469953703703704,False,False
p10015,2,p10015_s0003,p10015_s0004,2,1,4.682569444444445,False,False
p10015,3,p10015_s0004,p10015_s0005,1,1,33.83277777777778,False,False
p10015,4,p10015_s0005,p10015_s0006,1,3,2.1248032407407407,False,False
p10015,5,p10015_s0006,p10015_s0007,3,1,0.7546759259259259,False,False
p10015,6,p10015_s0007,p10015_s0008,1,1,0.6830555555555555,False,False
p10015,7,p10015_s0008,p10015_s0009,1,2,93.41435185185185,False,False
p10016,0,p10016_s0001,p10016_s0002,0,1,0.9276736111111111,False,False
p10016,1,p10016_s0002,p10016_s0003,1,3,0.9092013888888889,False,False
p10016,2,p10016_s0003,p10016_s0004,3,1,8.891157407407407,False,False
p10016,3,p10016_s0004,p10016_s0005,1,4,101.16851851851852,False,False
p10016,4,p10016_s0005,p10016_s0006,4,1,53.37984953703704,False,False
p10016,5,p10016_s0006,p10016_s0007,1,1,0.33613425925925927,True,False
p10016,6,p10016_s0007,p10016_s0008,1,1,0.04747685185185185,True,False
p10016,7,p10016_s0008,p10016_s0009,1,2,0.2521412037037037,True,False
p10016,8,p10016_s0009,p10016_s0010,2,1,0.13342592592592592,True,False
p10016,9,p10016_s0010,p10016_s0011,1,2,0.40935185185185186,True,False
p10018,0,p10018_s0001,p10018_s0002,0,1,2.2176157407407406,True,False
p10018,1,p10018_s0002,p10018_s0003,1,1,0.840925925925926,True,False
p10018,2,p10018_s0003,p10018_s0004,1,1,0.9366319444444444,True,False
p10018,3,p10018_s0004,p10018_s0005,1,1,0.9155439814814815,True,False
p10018,4,p10018_s0005,p10018_s0006,1,1,0.9371180555555556,False,False
p10018,5,p10018_s0006,p10018_s0007,1,2,0.9816319444444445,False,False
p10018,6,p10018_s0007,p10018_s0008,2,1,1.0326157407407408,False,False
p10018,7,p10018_s0008,p10018_s0009,1,4,0.9452546296296296,False,False
p10018,8,p10018_s0009,p10018_s0010,4,2,0.9388773148148148,False,False
p10018,9,p10018_s0010,p10018_s0011,2,1,0.9140856481481482,False,False
p10018,10,p10018_s0011,p10018_s0012,1,1,0.9704282407407407,False,False
p10018,11,p10018_s0012,p10018_s0013,1,2,0.9925694444444444,False,False
p10019,0,p10019_s0001,p10019_s0002,0,1,0.003553240740740741,False,False
p10019,1,p10019_s0002,p10019_s0003,1,2,2.8516898148148146,False,False
p10019,2,p10019_s0003,p10019_s0004,2,2,0.9069560185185185,False,False
p10019,3,p10019_s0004,p10019_s0005,2,2,7.3678587962962965,False,False
p10019,4,p10019_s0005,p10019_s0006,2,1,6.897696759259259,False,False
p10019,5,p10019_s0006,p10019_s0007,1,1,0.9170023148148149,False,False
p10019,6,p10019_s0007,p10019_s0008,1,4,48.79825231481482,False,False
p10019,7,p10019_s0008,p10019_s0009,4,4,26.514328703703704,False,False
p10019,8,p10019_s0009,p10019_s0010,4,4,12.820983796296296,False,False
p10019,9,p10019_s0010,p10019_s0011,4,2,1.5161921296296297,False,False
p10019,10,p10019_s0011,p10019_s0012,2,4,55.15412037037037,False,False
p10020,0,p10020_s0001,p10020_s0002,0,1,0.6076273148148148,False,False
p10020,1,p10020_s0002,p10020_s0003,1,1,1.6214583333333332,False,False
p10020,2,p10020_s0003,p10020_s0004,1,1,1.675335648148148,False,False
p10020,3,p10020_s0004,p10020_s0005,1,1,6.152094907407408,False,False
p10020,4,p10020_s0005,p10020_s0006,1,1,0.13416666666666666,False,False
p10020,5,p10020_s0006,p10020_s0007,1,2,0.14337962962962963,False,False
p10020,6,p10020_s0007,p10020_s0008,2,1,0.24856481481481482,False,False
p10020,7,p10020_s0008,p10020_s0009,1,2,1.068900462962963,False,False
p10020,8,p10020_s0009,p10020_s0010,2,1,0.48748842592592595,False,False
p10020,9,p10020_s0010,p10020_s0011,1,2,14.677349537037037,False,False
p10020,10,p10020_s0011,p10020_s0012,2,1,4.276921296296297,False,False
p10020,11,p10020_s0012,p10020_s0013,1,1,3.7389236111111113,False,False
p10020,12,p10020_s0013,p10020_s0014,1,1,6.1117939814814815,False,False
p10020,13,p10020_s0014,p10020_s0015,1,1,0.7066666666666667,False,False
p10020,14,p10020_s0015,p10020_s0016,1,2,5.915173611111111,False,False
p10020,15,p10020_s0016,p10020_s0017,2,2,0.23282407407407407,False,False
p10020,16,p10020_s0017,p10020_s0018,2,1,28.962569444444444,False,False
p10020,17,p10020_s0018,p10020_s0019,1,1,3.8558796296296296,False,False
p10020,18,p10020_s0019,p10020_s0020,1,1,0.2028009259259259,False,False
p10020,19,p10020_s0020,p10020_s0021,1,1,5.5528356481481485,False,False
p10020,20,p10020_s0021,p10020_s0022,1,1,6.997731481481481,False,False
p10020,21,p10020_s0022,p10020_s0023,1,2,12.113425925925926,False,False
p10020,22,p10020_s0023,p10020_s0024,2,1,0.854537037037037,False,False
p10020,23,p10020_s0024,p10020_s0025,1,1,3.118576388888889,False,False
p10020,24,p10020_s0025,p10020_s0026,1,1,5.9819560185185185,False,False
p10020,25,p10020_s0026,p10020_s0027,1,2,1.6835416666666667,False,False
p10020,26,p10020_s0027,p10020_s0028,2,1,0.30063657407407407,False,False
p10020,27,p10020_s0028,p10020_s0029,1,1,0.6069212962962963,False,False
p10020,28,p10020_s0029,p10020_s0030,1,1,0.9815162037037037,False,False
p10020,29,p10020_s0030,p10020_s0031,1,2,0.10476851851851852,False,False
p10020,30,p10020_s0031,p10020_s0032,2,2,1.7317708333333333,False,False
p10020,31,p10020_s0032,p10020_s0033,2,2,2.247986111111111,False,False
p10020,32,p10020_s0033,p10020_s0034,2,1,0.038009259259259257,False,False
p10021,0,p10021_s0001,p10021_s0002,0,1,0.9600810185185186,False,False
p10021,1,p10021_s0002,p10021_s0003,1,1,2.9242939814814815,False,False
p10021,2,p10021_s0003,p10021_s0004,1,1,0.9477430555555556,False,False
p10021,3,p10021_s0004,p10021_s0005,1,1,0.9214699074074074,False,False
p10021,4,p10021_s0005,p10021_s0006,1,1,0.7121759259259259,False,False
p10021,5,p10021_s0006,p10021_s0007,1,1,1.1715162037037037,False,False
p10021,6,p10021_s0007,p10021_s0008,1,1,0.68125,False,False
p10021,7,p10021_s0008,p10021_s0009,1,1,1.001273148148148,False,False
p10021,8,p10021_s0009,p10021_s0010,1,1,1.137662037037037,False,False
p10021,9,p10021_s0010,p10021_s0011,1,1,0.9016782407407408,False,False
p10021,10,p10021_s0011,p10021_s0012,1,1,1.7750810185185186,False,False
p10021,11,p10021_s0012,p10021_s0013,1,1,0.7148726851851852,False,False
p10021,12,p10021_s0013,p10021_s0014,1,2,0.6822106481481481,False,False
p10021,13,p10021_s0014,p10021_s0015,2,1,0.135625,False,False
p10021,14,p10021_s0015,p10021_s0016,1,1,0.3059837962962963,False,False
p10021,15,p10021_s0016,p10021_s0017,1,1,0.7545717592592592,False,False
p10021,16,p10021_s0017,p10021_s0018,1,2,1.2560185185185184,False,False
p10021,17,p10021_s0018,p10021_s0019,2,1,0.9154282407407407,False,False
p10021,18,p10021_s0019,p10021_s0020,1,2,1.0124652777777778,False,False
p10021,19,p10021_s0020,p10021_s0021,2,1,0.6931712962962963,False,False
p10021,20,p10021_s0021,p10021_s0022,1,2,5.129143518518519,False,False
p10021,21,p10021_s0022,p10021_s0023,2,2,1.0565393518518518,False,False
p10021,22,p10021_s0023,p10021_s0024,2,1,0.5608564814814815,False,False
p10021,23,p10021_s0024,p10021_s0025,1,1,0.12998842592592594,False,False
p10021,24,p10021_s0025,p10021_s0026,1,2,1.1990856481481482,False,False
p10021,25,p10021_s0026,p10021_s0027,2,2,2.9388657407407406,False,False
p10021,26,p10021_s0027,p10021_s0028,2,1,1.8709490740740742,False,False
p10021,27,p10021_s0028,p10021_s0029,1,1,0.9378819444444444,False,False
p10021,28,p10021_s0029,p10021_s0030,1,1,2.610659722222222,False,False
p10021,29,p10021_s0030,p10021_s0031,1,2,6.141446759259259,False,False
p10021,30,p10021_s0031,p10021_s0032,2,2,7.901608796296296,False,False
p10021,31,p10021_s0032,p10021_s0033,2,1,0.0013194444444444445,False,False
p10021,32,p10021_s0033,p10021_s0034,1,2,5.982175925925926,False,False
p10021,33,p10021_s0034,p10021_s0035,2,2,0.8903009259259259,False,False
p10021,34,p10021_s0035,p10021_s0036,2,3,2.9827662037037035,False,False
p10021,35,p10021_s0036,p10021_s0037,3,1,1.9125694444444445,False,False
p10021,36,p10021_s0037,p10021_s0038,1,1,2.0026041666666665,False,False
p10021,37,p10021_s0038,p10021_s0039,1,2,5.957800925925926,False,False
p10021,38,p10021_s0039,p10021_s0040,2,2,42.81619212962963,False,False
p10021,39,p10021_s0040,p10021_s0041,2,1,10.974305555555556,False,False
p10021,40,p10021_s0041,p10021_s0042,1,1,10.945405092592592,False,False
