from_state,to_state,transition_count,transition_probability
0,0,47,0.006999255398361877
0,1,4242,0.6317200297840655
0,2,1555,0.2315711094564408
0,3,465,0.06924795234549516
0,4,406,0.060461653015636635
1,0,99,0.002260325578209548
1,1,24519,0.5598073015365648
1,2,14886,0.3398707733053266
1,3,2204,0.050320783579533776
1,4,2091,0.0477408160003653
2,0,15,0.00044930357945184964
2,1,14175,0.4245918825819979
2,2,15639,0.4684439119364984
2,3,1878,0.056252808147371575
2,4,1678,0.05026209375468024
3,0,26,0.004041660189647132
3,1,2448,0.38053785170216076
3,2,1871,0.29084408518576094
3,3,1611,0.2504274832892896
3,4,477,0.07414891963314162
4,0,17,0.003654342218400688
4,1,1182,0.25408426483233015
4,2,1121,0.24097162510748066
4,3,185,0.03976784178847807
4,4,2147,0.4615219260533104
